raw_hexCode,raw_timeStamp,ts_seconds,ts_nanoSeconds,lat,long,type
8D7BD02258B503BB990178E38773,22576F10068E1B,15:46:05,789579406,23.59918,90.01912,aereal_position
8D7BD02258B503BBB101A333A454,2257AF0F297C1B,15:46:06,789522812,23.59973,90.02131,aereal_position
8D7BD02258B503BBC501C6EBBBD4,2257E4ED4C8E1D,15:46:07,619531406,23.60019,90.02309,aereal_position
8D7BD02258B503BBDF01F242EC10,2258261EA3EA1D,15:46:08,639542250,23.60078,90.02533,aereal_position
8D7BD02258B503BBF502199A505D,22585F9049B627,15:46:09,529549750,23.60129,90.02731,aereal_position
8D7BD02258B503BC0D0244231BC1,22589D2E424A30,15:46:10,489570890,23.60184,90.0295,aereal_position
8D7BD02258B503BC1702568BA998,2258B89A2DC71B,15:46:10,949628359,23.60207,90.03042,aereal_position
8D7BD02258B503BC210267C1BD46,2258D56E950030,15:46:11,359568640,23.60229,90.03128,aereal_position
8D7BD02258B503BC4702A8D9E553,22592DDEE5E220,15:46:12,769582562,23.60316,90.03459,aereal_position
8D7BD02258B503BC5102BA28A406,22594B4CD8D932,15:46:13,189585625,23.60339,90.0355,aereal_position
8D7BD02258B503BC5B02CBA0F88D,225968CF510F1C,15:46:13,684675343,23.60362,90.03637,aereal_position
8D7BD02258B503BC6B02E5395545,22599011BF4336,15:46:14,269598531,23.60399,90.03769,aereal_position
8D7BD02258B503BC95032F892E5A,2259F71E6AC827,15:46:15,924740296,23.60495,90.04145,aereal_position
8D7BD02258B503BCAD035B7D2E55,225A3506988E2F,15:46:16,889624718,23.6055,90.04369,aereal_position
8D7BD02258B503BCB7036C2B9183,225A53A5EF8340,15:46:17,329641859,23.60573,90.04456,aereal_position
8D7BD02258B503BCE303BBB0C999,225AC983FF993D,15:46:19,159645593,23.60674,90.04857,aereal_position
8D7BD02258B503BCF103D1740BAC,225AE1A82CD826,15:46:19,564669656,23.60706,90.04969,aereal_position
8D7BD02258B503BCFB03E2FFC85C,225AFA6513ED3A,15:46:19,979702765,23.60728,90.05056,aereal_position
8D7BD02258B503BD1D041F0D7444,225B5A88CA0A29,15:46:21,445172234,23.60806,90.05366,aereal_position
8D7BD02258B503BD270431E1D306,225B73D628E33B,15:46:21,869673187,23.60829,90.05458,aereal_position
8D7BD02258B503BD310442ED248A,225B927550F82B,15:46:22,309678328,23.60852,90.05544,aereal_position
8D7BD02258B503BD8304D37CA28D,225C645771552B,15:46:25,609710421,23.6104,90.06282,aereal_position
8D7BD02258B513BD9F0503C2D189,225CA6215CEF2A,15:46:26,639720687,23.61104,90.06526,aereal_position
8D7BD02258B503BDAD051D71594B,225CCC3478ED18,15:46:27,204765421,23.61136,90.06658,aereal_position
8D7BD02258B513BDB7052FE88642,225CE752B45A31,15:46:27,659731546,23.61159,90.06749,aereal_position
