raw_hexCode,raw_timeStamp,ts_seconds,ts_nanoSeconds,lat,long,type
8D8001AB5861937459B0EC1EC00B,24FF1491502A18,16:31:24,345067562,23.1817,90.62542,aereal_position
8D8001AB586163746BB1427C1BA8,24FFAC2635D811,16:31:26,740701656,23.18211,90.62972,aereal_position
8D8001AB586133747DB1967BE410,25004108E01B14,16:31:29,17358875,23.18253,90.63391,aereal_position
8D8001AB5861237487B1BEC73760,2500880B59D91B,16:31:30,134961625,23.18275,90.63591,aereal_position
8D8001AB586113748BB1D332CFCF,2500A90FE20D22,16:31:30,688906765,23.18285,90.63696,aereal_position
8D8001AB586103748FB1E534376E,2500CBBD332D19,16:31:31,196948781,23.18294,90.63786,aereal_position
8D8001AB585FD374A5B24E061B58,250185E7527F38,16:31:34,99046015,23.18344,90.6431,aereal_position
8D8001AB585FB374ADB27735F61D,2501CC3CDC2519,16:31:35,205315109,23.18362,90.64515,aereal_position
8D8001AB585FA374B5B29C4C608B,25020C81973D1B,16:31:36,209819453,23.18381,90.64699,aereal_position
8D8001AB585F9374BDB2BE72EA08,25024A93A0961C,16:31:37,177447062,23.18399,90.64869,aereal_position
8D8001AB585F8374C1B2CE0BD787,250264586B071F,16:31:37,609774343,23.18408,90.64949,aereal_position
8D8001AB585F7374CBB3016220CC,2502C1AAA4E225,16:31:39,27960546,23.18431,90.65204,aereal_position
8D8001AB585F6374D3B3201F5F8D,2502F4336A8B25,16:31:39,875784843,23.18449,90.65359,aereal_position
8D8001AB585F2374EBB38BD22932,2503B28F7D432B,16:31:42,848264515,23.18504,90.65893,aereal_position
8D8001AB585F1374EFB39FB455F8,2503D7E8E64124,16:31:43,401139265,23.18513,90.65993,aereal_position
8D8001AB585F1374F5B3B4E242AC,2503F8AC12F429,16:31:43,950801140,23.18527,90.66098,aereal_position
8D8001AB585F0374FBB3D492F712,250433BA7CF728,16:31:44,867859703,23.18541,90.66258,aereal_position
8D8001AB585DE37505B3F8CEDD87,250472E879A820,16:31:45,854096296,23.18564,90.66437,aereal_position
8D8001AB585DE37509B40EB88EEE,25049A7D99F730,16:31:46,444439031,23.18573,90.66547,aereal_position
8D8001AB585D93752BB4A18C7BDD,25059F6677F625,16:31:50,526809078,23.18651,90.67281,aereal_position
8D8001AB585D837531B4B6EBA95B,2505C5BF775F1C,16:31:51,96434015,23.18665,90.67386,aereal_position
8D8001AB585D737539B4DB912079,250608F77E6C20,16:31:52,150437484,23.18683,90.67571,aereal_position
8D8001AB585D73753DB4EA58A41C,250621CF6D5E1E,16:31:52,567242078,23.18692,90.67646,aereal_position
8D8001AB585D637541B4FA23DB43,25064015279624,16:31:53,1386390,23.18701,90.67726,aereal_position
8D8001AB585BC37591B656A1F538,2508A9EBC5CD21,16:32:02,703317453,23.18884,90.69464,aereal_position
8D8001AB585BA37599B67D92E4BE,2508EEC7BA9F21,16:32:03,784841375,23.18903,90.69658,aereal_position
8D8001AB585B9375A1B6A331BA96,2509349E58A128,16:32:04,882792609,23.18921,90.69848,aereal_position
8D8001AB585B4375C7B747513AA4,250A5D09AC6228,16:32:09,487173218,23.19008,90.70667,aereal_position
8D8001AB585B3375D1B76ECD8447,250AA136BDE732,16:32:10,557235687,23.19031,90.70862,aereal_position
8D8001AB585B1375DBB79F2387CC,250AF8C2191434,16:32:11,952244500,23.19054,90.71107,aereal_position
8D8001AB585B1375DFB7AF15F7A0,250B16E8BA7B34,16:32:12,384350843,23.19063,90.71186,aereal_position
8D8001AB585B0375E3B7C2196EF6,250B375337052E,16:32:12,928200453,23.19072,90.71281,aereal_position
8D8001AB5859F375EDB7EAA6E920,250B83D930022F,16:32:14,64565250,23.19095,90.71481,aereal_position
8D8001AB5859E375F1B7FFEDDE3B,250BA657CC9A34,16:32:14,643288218,23.19104,90.71586,aereal_position
