raw_hexCode,raw_timeStamp,ts_seconds,ts_nanoSeconds,lat,long,type
8D800B1458BDF15CB4D05CFB9344,1BB75E76BEA32A,13:53:01,511098531,20.04318,92.61612,aereal_position
8D800B1458BF015ADED3BFADC559,1BBC6156315B32,13:53:21,559296859,20.03242,92.65864,aereal_position
8D800B1458BF015934D6D04A91E8,1BC0E984426936,13:53:39,696533609,20.02267,92.69714,aereal_position
8D800B1458BF015904D72AD96CEE,1BC16E5C3B653C,13:53:41,777796453,20.02158,92.70156,aereal_position
8D800B1458BF015822D8CF3BD0BD,1BC3DE803ABD1D,13:53:51,511720125,20.0164,92.72221,aereal_position
8D800B1458BF015790D9DCD0ADC9,1BC56BC4D8BC2A,13:53:57,734320828,20.01306,92.7354,aereal_position
8D800B1458BF11576ADA247A0D41,1BC5D78CC28C2F,13:53:59,395100812,20.01219,92.73893,aereal_position
8D800B1458BF015740DA71867885,1BC64B205F7827,13:54:01,186670968,20.01123,92.74271,aereal_position
8D800B1458BF01572CDA951573D4,1BC680F799311F,13:54:02,16226609,20.01077,92.74447,aereal_position
8D800B1458BF015712DAC833CF88,1BC6CB260CA830,13:54:03,187042984,20.01018,92.74697,aereal_position
8D800B1458BF0156E2DB22EBD3FA,1BC74FE62FE54C,13:54:05,266743781,20.00908,92.75139,aereal_position
8D800B1458BF0156B2DB7CBF5841,1BC7D429EC3538,13:54:07,338291765,20.00798,92.7558,aereal_position
8D800B1458BF015680DBD9C5C3B5,1BC85C942FE816,13:54:09,479473640,20.00684,92.76036,aereal_position
8D800B1458BF015654DC2B60B20D,1BC8D740C00D45,13:54:11,390119437,20.00583,92.76439,aereal_position
8D800B1458BF015628DC82D2C27F,1BC956B8E80D18,13:54:13,381216781,20.00482,92.76865,aereal_position
8D800B1458BF0155FADCD60B8E69,1BC9D330A60F15,13:54:15,321955343,20.00377,92.77277,aereal_position
8D800B1458BF0155D0DD27CFA58B,1BCA4C332F4716,13:54:17,204681031,20.00281,92.77675,aereal_position
8D800B1458BF015544DE2FDDD2DE,1BCBD0FB1EF936,13:54:23,284892921,19.9996,92.78969,aereal_position
8D800B1458BF015516DE8868D14A,1BCC549C3E3313,13:54:25,345783859,19.99855,92.79406,aereal_position
