raw_hexCode,raw_timeStamp,ts_seconds,ts_nanoSeconds,lat,long,type
8C76CD08381D368A0078B9BD03A8,1820F9D5A06ACD,12:51:47,970301546,23.84964,90.40039,surface_position
8F76CD08381D33995C7B007C850B,1822379A5D12D0,12:51:52,932863250,23.84965,90.40039,surface_position
8F76CD08381D33995C7B007C850B,18238078F5A3CC,12:51:58,7927203,23.84965,90.40039,surface_position
8F76CD08381D33995C7B007C850B,1824C8ABC2AAD9,12:52:03,145474218,23.84965,90.40039,surface_position
8F76CD08381D368A0078B9559020,18260AE8A24ED0,12:52:08,183018062,23.84964,90.40039,surface_position
8F76CD08381D368A0078B9559020,1827496C4060CF,12:52:13,158089312,23.84964,90.40039,surface_position
8F76CD08381D33995C7B007C850B,1828807C3695D1,12:52:18,8140437,23.84965,90.40039,surface_position
8F76CD08381D33995C7B007C850B,1829B621D539D2,12:52:22,908186937,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,182C34A5BBDDC3,12:52:32,883276765,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,182D8438FBC0C5,12:52:38,70843328,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,182EC13ED844BE,12:52:43,20895812,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,182FF3E97B9AC1,12:52:47,870939546,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18312DF46751C1,12:52:52,770991953,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,183274A9FA0CC3,12:52:57,883554828,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,1833A8BED14EBF,12:53:02,683594062,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,1834F1B07754C3,12:53:07,833648468,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,183634AC4553D4,12:53:12,883705171,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,183782C2043CB9,12:53:18,46269500,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,1838B9E536B6B7,12:53:22,971323062,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,1839FB642C01C0,12:53:27,996420609,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,183B39284A36C8,12:53:32,958941750,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,183C74B04D10D4,12:53:37,883969296,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,183DBAA7335BD2,12:53:42,984036187,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,183F0385FF12D2,12:53:48,59113234,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18404BB86C17D4,12:53:53,196635671,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,184186825E16CE,12:53:58,109207062,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,1842C8008275CD,12:54:03,134251125,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,184402CA2DB6CF,12:54:08,46804406,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,1845420C54A3CF,12:54:13,34362531,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18467339BAEDD0,12:54:17,859421421,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,1847B8718823CD,12:54:22,946964515,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,1849038C50FDCE,12:54:28,59527421,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,184A498307FBD4,12:54:33,159582203,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,184B85CA0566CA,12:54:38,97125734,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,184CC21121E2CF,12:54:43,34677218,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,184DF4BBB422CD,12:54:47,884716578,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,184F2C8A7636CC,12:54:52,747271734,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,185073403F62CF,12:54:57,859848546,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,1851B6FB9722D4,12:55:02,922457890,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18542EC9F685D4,12:55:12,784987781,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,18556C8E812FD4,12:55:17,747536687,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,1856AA535A96D0,12:55:22,710105750,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,1857F5810447D2,12:55:27,897647687,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,185934C30FDCCF,12:55:32,885198812,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,185A6996D839D2,12:55:37,697751609,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,185B9F294B60C4,12:55:42,522799968,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,185CDF2A267ED4,12:55:47,522856062,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,185F5C30DBAFCE,12:55:57,472964015,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,186098782E20D0,12:56:02,410529312,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,1861D6FB5731CF,12:56:07,385570609,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,1863140133E4CC,12:56:12,335623140,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,186459F7E44ACD,12:56:17,435676234,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,186599F8A7F8CB,12:56:22,435726328,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,1866D403A1C7CE,12:56:27,335782343,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,186819FA51B0CE,12:56:32,435835312,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,1869564182CECD,12:56:37,373392078,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,186A97BFD292D1,12:56:42,398447250,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,186BD289A05FD1,12:56:47,311009375,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,186D1B7B6EDCCF,12:56:52,461074140,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,186E646CF3EDCE,12:56:57,611120109,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,186F9FF51760CE,12:57:02,536156000,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,1870E6AA93E3D0,12:57:07,648713187,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,1872252DDB4AD5,12:57:12,623762250,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18736829A39CD2,12:57:17,673817500,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,187722363C66D0,12:57:32,573979750,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,187857C8BBB2D2,12:57:37,399031218,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18799B83999FD7,12:57:42,461609375,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,187ADF3DB832D1,12:57:47,524138546,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,187C20BC10A1D6,12:57:52,549195937,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,187D5FFE105FD4,12:57:57,536744031,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,187E970E2C3CD1,12:58:02,386804796,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,187FDD04C67ACF,12:58:07,486852218,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,1881194BE3D1D4,12:58:12,424403921,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,18839357A2C6D4,12:58:22,324510406,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,1884D88FD8F7D0,12:58:27,412080375,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,18861E86919AD1,12:58:32,512135578,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18875713E1C9D3,12:58:37,387178953,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18889B8D6791D1,12:58:42,462251921,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,1889E3013229D5,12:58:47,587280937,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,188B1B8F06EAD0,12:58:52,462358250,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,188C5C4E3646D2,12:58:57,474887750,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,188EDAD26F6FDD,12:59:07,449998703,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,189017D8457BD3,12:59:12,400049531,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,1891541F65C0D1,12:59:17,337601984,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,18929AD4DA83CF,12:59:22,450157187,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,1893D1260CE7D1,12:59:27,287706343,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,18950CAEB22CC9,12:59:32,212775468,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,189648F5C11CD2,12:59:37,150323484,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,189789B57170D0,12:59:42,162886000,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,1898CD6FAACFD6,12:59:47,225422031,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,189A17DED0D5D3,12:59:52,400478421,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,189B5DD58717D2,12:59:57,500533015,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,189C9E9546ADD2,13:00:02,513099437,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,189DDD186118D5,13:00:07,488136984,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,189F1C5A7AF5D0,13:00:12,475691765,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18A41667FA66CD,13:00:32,375913062,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,18A55E9AFC87D3,13:00:37,513473671,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,18A69964757ED1,13:00:42,426014078,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18A7DD1EEBF6D5,13:00:47,488565750,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,18A919660A37D4,13:00:52,426117687,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,18AA5966DB72D1,13:00:57,426171250,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18AB91359345D3,13:01:02,288723781,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,18ACD2B4197AD0,13:01:07,313792890,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,18AF53758F9AD0,13:01:17,326471578,23.84965,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18B091F797E9D2,13:01:22,301438953,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18B1D07B0E9DD1,13:01:27,276500125,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18B317EF1E9AD5,13:01:32,401546906,23.84964,90.40039,surface_position
8C76CD08381D368A0078B9BD03A8,18B4513B4F69D1,13:01:37,289099625,23.84964,90.40039,surface_position
8C76CD08381D33995C7B00941683,18B5878CAB4ED6,13:01:42,126659406,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,18B6C78D8320D9,13:01:47,126714656,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,18B80315E8DBD5,13:01:52,51767515,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,18B9367F82CAD2,13:01:56,914326218,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,18BA708A68D3D2,13:02:01,814377171,23.84965,90.40039,surface_position
8C76CD08381D33995C7B00941683,18BBA49F6F82C3,13:02:06,614428546,23.84965,90.40039,surface_position
8C76CD08381D3399607B03AA35A4,18BCE4A03FE2C9,13:02:11,614481890,23.84967,90.40043,surface_position
8C76CD0838DD368A0A78BFEEF3CB,18BE15BA74D4CA,13:02:16,364541140,23.8497,90.40047,surface_position
8C76CD0838DD3399667B065FDED9,18BE320A17CAC4,13:02:16,839522250,23.8497,90.40047,surface_position
8C76CD0838DD368A0C78BFC20A4D,18BE5141DAF2D0,13:02:17,289528562,23.84971,90.40047,surface_position
8C76CD0838DD368A0C78C03F080D,18BE6F0F489DCC,13:02:17,789530781,23.84971,90.40048,surface_position
8C76CD0838DD368A0C78C03F080D,18BE8C0AD300C0,13:02:18,202035968,23.84971,90.40048,surface_position
8C76CD0838DD3399687B081DD116,18BEA55FE19FC7,13:02:18,627040671,23.84972,90.40049,surface_position
8C76CD0838DD3399687B081DD116,18BEC6D42592C7,13:02:19,114566546,23.84972,90.40049,surface_position
8C76CD0838DD3399687B081DD116,18BEE6DD8777CA,13:02:19,652052343,23.84972,90.40049,surface_position
8C76CD0838DD33996A7B09F98D9D,18BF0792E210D0,13:02:20,127066640,23.84973,90.40051,surface_position
8C76CD0838DD368A0E78C224BC94,18BF232406C9BA,13:02:20,589563593,23.84972,90.40051,surface_position
8C76CD0838DD368A0E78C224BC94,18BF4A8E0047C2,13:02:21,177078343,23.84972,90.40051,surface_position
8C76CD0838DD268A1078C374FBE3,18BF89CF9797CB,13:02:22,164599703,23.84974,90.40052,surface_position
8C76CD0838DD268A1078C374FBE3,18BFA1A73A4AC7,13:02:22,564607562,23.84974,90.40052,surface_position
8C76CD0838DD23996C7B0BE5C4E0,18BFC910DB29CC,13:02:23,152099625,23.84974,90.40053,surface_position
8C76CD0838DD268A1078C574DFCE,18C003DADA66C3,13:02:24,64674406,23.84974,90.40055,surface_position
8C76CD0838DD268A1078C574DFCE,18C01C700899D3,13:02:24,477104281,23.84974,90.40055,surface_position
8C76CD0838DD268A1278C56F774C,18C03A3DA524B9,13:02:24,977118500,23.84975,90.40055,surface_position
8C76CD0838DD268A1278C6909F5E,18C05BB1D84ED1,13:02:25,464640078,23.84975,90.40056,surface_position
8C76CD0838DD268A1278C6909F5E,18C07447C136C4,13:02:25,877117750,23.84975,90.40056,surface_position
8C76CD0838DD268A1278C6909F5E,18C091434D8DBC,13:02:26,289623437,23.84975,90.40056,surface_position
8C76CD0838DD23996E7B0E01A05D,18C0AB5719A4C8,13:02:26,727128484,23.84975,90.40057,surface_position
