raw_hexCode,raw_timeStamp,ts_seconds,ts_nanoSeconds,lat,long,type
8D800C9D608F335FFD76426A6983,1B00287EE13487,13:40:48,679403828,23.06241,89.87545,aereal_position
8D800C9D608F33600B7658F29B30,1B004BE4E7C962,13:40:49,199550921,23.06273,89.87655,aereal_position
8D800C9D608F43604176AC9BB3B6,1B00CC89B26F5B,13:40:51,210350703,23.06396,89.88075,aereal_position
8D800C9D608F53604B76BF211D16,1B00E6C8E72289,13:40:51,650700578,23.06419,89.8817,aereal_position
8D800C9D608F53606776EAC13DB4,1B012893F53384,13:40:52,680785203,23.06483,89.88384,aereal_position
8D800C9D608F63607577025D1DFA,1B014E5F39F564,13:40:53,241121781,23.06516,89.88504,aereal_position
8D800C9D608F73609F7743C14C2F,1B01AE98639A83,13:40:54,781738906,23.06612,89.88829,aereal_position
8D800C9D608F7360A97755754965,1B01CD3D2D8463,13:40:55,222113156,23.06635,89.88919,aereal_position
8D800C9D608F8360CF779084A8AE,1B022485BE0E85,13:40:56,612744718,23.06721,89.89213,aereal_position
8D800C9D608F8360DB77A46FA4E4,1B024589723665,13:40:57,92893750,23.06749,89.89313,aereal_position
8D800C9D608FA3610F77F6AC963F,1B02C16AA5C465,13:40:59,23766468,23.06868,89.89723,aereal_position
8D800C9D608FA3611978080297A0,1B02DBA8B1977F,13:40:59,464040343,23.06891,89.89813,aereal_position
8D800C9D608FB36141784608F22B,1B03371DB95B64,13:41:00,924694875,23.06982,89.90122,aereal_position
8D800C9D608FB3614F785DB5D103,1B035BB3023774,13:41:01,464716343,23.07014,89.90237,aereal_position
8D800C9D608FD3618178AD3138FA,1B03D5C9F0266B,13:41:03,365555750,23.07129,89.90637,aereal_position
8D800C9D608FE361AD78F480A522,1B0442244A2E5A,13:41:05,35932718,23.0723,89.90991,aereal_position
8D800C9D608FF361BD790C6694F6,1B046421531669,13:41:05,606163734,23.07266,89.91111,aereal_position
8D800C9D60910361E37949A30067,1B04C235F3D95C,13:41:07,37090265,23.07353,89.91416,aereal_position
8D800C9D60910361F1795F652800,1B04E1CCD37970,13:41:07,567071609,23.07385,89.91526,aereal_position
8D800C9D6091136217799F247FE5,1B0544117F3A5B,13:41:09,68255546,23.07472,89.91845,aereal_position
8D800C9D609113622379B0757720,1B055BE8D38F76,13:41:09,468243343,23.075,89.9193,aereal_position
8D800C9D609123623D79DAB9B339,1B059B55FAD97A,13:41:10,458619609,23.07559,89.9214,aereal_position
8D800C9D609133624979ECAD8BF3,1B05B4F6F7945C,13:41:10,888600468,23.07587,89.9223,aereal_position
8D800C9D60913362557A003E2625,1B05D564DCF77A,13:41:11,358931703,23.07614,89.9233,aereal_position
8D800C9D609143627B7A3F54C602,1B0632A0CCA954,13:41:12,849398953,23.07701,89.92644,aereal_position
8D800C9D60914362877A50081350,1B064F7A95B176,13:41:13,259691953,23.07729,89.92729,aereal_position
8D800C9D60916362AF7A91B9E518,1B06AF1945225C,13:41:14,790185250,23.0782,89.93054,aereal_position
8D800C9D60916362BF7AA965F00C,1B06D4E425DA82,13:41:15,350496218,23.07857,89.93173,aereal_position
8D800C9D60917362E97AEED24A6C,1B0739E0029E66,13:41:16,970982046,23.07953,89.93518,aereal_position
