raw_hexCode,raw_timeStamp
8D06A13B9909EB8798045ADB5157,0D6D0024E3B935
8D06A13B9909EB8790045AB5F35F,0D6D75315FAB2A
8D06A13BE1060E000000006B21E1,0D6DA437398831
8D06A13B254544B8DF4820D0525A,0D6DA6E3799F11
8D06A13B9909EB8798045ADB5157,0D6DB237C5263B
8D06A13BF82100020048B84C02B8,0D6DB82DD20814
8D06A13BEA44785D1B1C0841FF53,0D6DD2EC015E2F
8D06A13B254544B8DF4820D0525A,0D7CA05B4B7038
8D06A13BE1060E000000006B21E1,0D7CABFCD61B16
8D06A13BF82100020048B84C02B8,0D7CAEA8A3832F
8D06A13B58B506C352E1F9C21781,0D7CDA64F6D63D
8D06A13B58B5030327626008AA50,0D7E1E44BA1232
8D06A13B9909EA8790045AB6F991,0D7E86B97F5E2E
8D06A13B58B503030D62C63E3FAE,0D7EA43ACBA833
8D06A13B9909EA87B0045AF385B8,0D7EC621001F2F
8D06A13B58B506C2F4E37A8E9E02,0D7EE18BC2FA15
8D06A13B9909EA87B0045AF385B8,0D7F0752475E19
8D06A13B254544B8DF4820D0525A,0D7F1E45A00D14
8D06A13BE1060E000000006B21E1,0D7F2EAB5E5E36
8D06A13BEA44785D1B1C0841FF53,0D7F55A08C0438
8D06A13B58B50302E963540EE4AC,0D7F5CC74CDE13
8D06A13B9909EB8790045AB5F35F,0D7F80C3FEFC36
8D06A13B58B506C2D0E40F2BFD98,0D7FA1D87C4634
8D06A13BEA44785D1B1C0841FF53,0D7FF3BABBA614
8D06A13B9909EB8790045AB5F35F,0D803406CD381E
8D06A13B58B506C2AAE4A34AB853,0D806651F5EA18
8D06A13BF82100020048B84C02B8,0D806C9B4E3917
8D06A13B58B50302AD644E99E1D5,0D80A43B7AF316
8D06A13B9909EB87B0045AF08F76,0D80B835461D15
8D06A13B58B50302A1647F3EC7B8,0D80E3EEC2B037
8D06A13B9909EB87B0045AF08F76,0D80F964695318
8D06A13B58B503029564AB95F3CB,0D811E45C6B032
8D06A13BEA44785D1B1C0841FF53,0D812EAAEE7D18
8D06A13B58B503028964DCEC36FB,0D815CC7DA6912
8D06A13B58B503027D650DD63FC8,0D81A1DA302016
8D06A13BF82100020048B84C02B8,0D81B36F400A15
8D06A13BE1060E000000006B21E1,0D81C2E43AD740
8D06A13B9909EA87B0045AF385B8,0D81C9B597371C
8D06A13B9909EA87B8045A9D27B0,0D824B7F89B731
8D06A13B58B503024F65C2AE8A9B,0D82912943B82D
8D06A13B9909EA87B8045A9D27B0,0D82F702B6BE39
8D06A13B58B506C22CE69C6EDF58,0D830D97E8813C
8D06A13B9909EA87B8045A9D27B0,0D836488F80B15
8D06A13B58B506C214E70091E6AB,0D839129554C39
8D06A13B58B506C208E7301470DF,0D83D33F50F111
8D06A13B9909EA87B0045AF385B8,0D83DDFA55843E
8D06A13B254544B8DF4820D0525A,0D840374E5FF40
8D06A13B9909EA87B0045AF385B8,0D842357B4D430
8D06A13BE1060E000000006B21E1,0D843076C3A735
8D06A13BEA44785D1B1C0841FF53,0D844D4A65AC35
8D06A13B9909EA87B8045A9D27B0,0D84F4A10C3811
8D06A13B58B50301D767A56AE62F,0D85066F9D2F39
8D06A13B9909EA87B8045A9D27B0,0D853539C7092F
8D06A13B58B506C1C4E842098A4A,0D8547540D9732
8D06A13BF82100020048B84C02B8,0D856A33D88B3B
8D06A13B9909EA87B0045AF385B8,0D85C4F34CE430
8D06A13B58B50301AF68474990C7,0D85DA69442715
8D06A13B9909EA87B8045A9D27B0,0D85FA97763E31
8D06A13BEA44785D1B1C0841FF53,0D862EABA78C13
8D06A13B9909EA87B0045AF385B8,0D863408E7AC13
8D06A13B58B506C18EE91504C68E,0D8655A28F6634
