raw_hexCode,raw_timeStamp
8D70AEBE58C9103DF2B2BA5C3799,1195C125CA1531
8D70AEBE9941CF8D000862930D25,1195D270435434
8D70AEBE9941D08D000862B2C3DF,11960B46C4C117
8D70AEBE9941D08D000862B2C3DF,11962917016A15
8D70AEBE58C9103DC8B316B98780,11963B95CE6D31
8D70AEBE9941D08D000862B2C3DF,11964C78641312
8D70AEBE58C917F870349E02DEB1,1196628D8C5312
8D70AEBE58C9103DB0B34D391E25,1196897D8F491E
8D70AEBE9941D08D000862B2C3DF,11968EE1EE6817
8D70AEBE58C9103DA6B36036DE50,1196A61991F033
8D70AEBE20209377DB2C602E09CE,1196C7B15F0E2F
8D70AEBE9941D08D000862B2C3DF,1196FA5F64F832
8D70AEBE58C9103D78B3C530367E,11971BF859AE14
8D70AEBE9941D08D000862B2C3DF,11973AF1BBFC39
8D70AEBE20209377DB2C602E09CE,11980B49BF442B
8D70AEBE58C9103D2EB46A983402,119839C6EE2610
8D70AEBE9941D08D000862B2C3DF,119847B05ABE34
8D70AEBE9941D08CE00462F4E45A,119915FDD33A3B
8D70AEBE9941D08CE00462F4E45A,11992DDC1CA040
8D70AEBE20209377DB2C602E09CE,11994979E4DE18
8D70AEBE9941D08CE00462F4E45A,11994AAF161143
8D70AEBE58C9103CD0B53E040017,1199572E62263B
8D70AEBE9941D08CE00862BCBE5A,11996B77F3AD33
8D70AEBE9941D08CE00862BCBE5A,1199C3839E6D2E
8D70AEBE9941D18D080462973119,11AA24DF27B431
8D70AEBE9941D18D080462973119,11AA4BD7F22918
8D70AEBE58C9103758C1753A86D3,11AA4ECD0F733A
8D70AEBE9941D18D000462F99311,11AA643E59D032
8D70AEBE58C917F20A42DC175607,11AAAB60B6B342
8D70AEBE20209377DB2C602E09CE,11AACBD3B8BD30
8D70AEBE9941D18D000462F99311,11AACEC9572E79
8D70AEBE58C9103726C1E36DDF03,11AAE9A0DC2018
8D70AEBE9941D18D000462F99311,11AB11C95D702F
8D70AEBE58C9103714C208068556,11AB256F0FCB17
8D70AEBE9941D18D000462F99311,11AB4A9F4AAC17
8D70AEBE58C917F1DA434920CEBA,11AB4B36703633
8D70AEBE58C91036F8C249AD7CB6,11AB690195491E
8D70AEBE9941D18D000462F99311,11AB8B362FB31E
8D70AEBE58C917F1B4439A569C25,11ABA73C86CD22
8D70AEBE9941D18D000462F99311,11ABAC01741D1E
8D70AEBE58C917F1AC43AD1B8B71,11ABCD96D9441F
8D70AEBE9941D08D080462943BD7,11ABD25CD0EF22
8D70AEBE58C917F1A443BF75D5BA,11ABE570047B24
8D70AEBE20209377DB2C602E09CE,11AC079CD43524
8D70AEBE9941D08D080462943BD7,11AC10982F3727
8D70AEBE58C91036BEC2CAF393B0,11AC1E49BF2A29
8D70AEBE58C91036B6C2DC9DF54D,11AC41AB39FE21
8D70AEBE9941D08D080462943BD7,11AC48D8381321
8D70AEBE58C91036ACC2EE3486A4,11AC5A1FEEC727
8D70AEBE9941D08D080462943BD7,11AC61485E4B27
8D70AEBE58C917F174442BE593FB,11AC80769A1F20
8D70AEBE9941D08D080462943BD7,11AC837A912B22
8D70AEBE58C917F1664446DE81EA,11AC98EB2E7E3B
8D70AEBE9941D08D000462FA99DF,11ACA43E15641F
8D70AEBE58C9103688C3424E2923,11ACB3BECAC51D
8D70AEBE9941D08D000462FA99DF,11ACC1AD93DC19
8D70AEBE58C9103680C354204FDE,11ACCFF9FC6019
8D70AEBE9941D08D000462FA99DF,11ACDF74729328
8D70AEBE58C9103676C366F54FED,11ACEE647CEB21
8D70AEBE9941D08D000462FA99DF,11AD01AD365B20
8D70AEBE58C917F13E44A11D0B94,11AD1388929B1D
8D70AEBE9941D08D000462FA99DF,11AD1D156CA03D
8D70AEBE58C910365EC39EDB4568,11AD361F469F1F
8D70AEBE9941D08D000462FA99DF,11AD4117EFB21B
8D70AEBE20209377DB2C602E09CE,11AD4A9FBE5522
8D70AEBE9941D08D000462FA99DF,11AD5D17666C21
8D70AEBE9941D08D000462FA99DF,11AD74EEC7A218
8D70AEBE58C917F11E44E95B84B1,11AD791B418A36
8D70AEBE9941D08D000462FA99DF,11AD955FB18A1F
8D70AEBE58C917F11644FB35DA7A,11AD95F3F24C1C
8D70AEBE58C9103630C40384E056,11ADB1F7944913
8D70AEBE9941D08D000462FA99DF,11ADB7EC6FD01F
8D70AEBE9941D08D000462FA99DF,11ADD4C4D7E022
8D70AEBE58C9103628C41537C2BB,11ADD5EF55B21E
8D70AEBE58C917F0F0454D1F507C,11ADF74C890F1D
8D70AEBE58C917F0E8455FAC4AA7,11AE15565D2C23
8D70AEBE9941D08D000462FA99DF,11AE15F00E151B
8D70AEBE9941D08D000462FA99DF,11AE30C67A161B
8D70AEBE58C917F0E04571C37D5E,11AE315A29D31E
8D70AEBE58C91035FEC471D8FEC1,11AE568BB42719
8D70AEBE58C91035F6C4844C343E,11AE7159F8051D
