raw_hexCode,raw_timeStamp
8D8001ACEA408858013C08D77BBC,171E238C3CF32A
8D8001AC99098B0F70644B69F965,171E43089B2815
8D8001AC589D571B46F19091D619,171E5C48E7C031
8D8001ACE11C0600000000DBCDF0,171E64BAEAE937
8D8001AC589D671B52F1A3D4FF57,171E7950BA5238
8D8001AC230490F7C39820F4C8AE,171E8473C9A514
8D8001AC99098B0F70604B51CF65,171E858A7EB419
8D8001AC589D635CEB7174E7F1C4,171E9C5F11271B
8D8001AC99098B0F705C4BC7096C,171EB9DC77E136
8D8001ACF82300030049B83A69D6,171EC08CAA5019
8D8001ACEA408858013C08D77BBC,171EC62E485418
8D8001AC589D771B76F1DF9494C8,171EDE49B06536
8D8001AC589DE35DF37317E4C844,172143C4B11E2D
8D8001ACEA408858013C08D77BBC,172146ACA69C35
8D8001ACEA408858013C08D77BBC,1730533DF78B33
8D8001AC58A3F72256FCD53893DB,173099DBA15D34
8D8001AC58A5A365957F4EB15D04,173497CEDAC62A
8D8001ACEA408858013C08D77BBC,1734B1CC377533
8D8001AC58A5C365C97FA1E61C52,17351B1E8FE63A
8D8001AC9909980FB040513A488E,17360BEC030028
8D8001AC58A5E3662F804809B3FD,173620394DA736
8D8001AC9909980FB040513A488E,17364C351E6518
8D8001AC58A5F724910069AAB4B3,17365883528B15
8D8001AC58AB0733B9194BF3C841,175E5C86CF3934
8D8001ACEA408858013C08D77BBC,176BB8087CD72C
8D8001AC9909930F30045476772C,176BD664F7F432
8D8001AC230490F7C39820F4C8AE,176BDC8DD93A33
8D8001ACE11C0600000000DBCDF0,176BE4DCFF1811
8D8001AC58AB0738F521ED54C92F,176C4D1152673C
8D8001AC58AB073927223FCF4BF2,176CD1235C7D1B
8D8001AC9909930F580454D7515F,176CDC9B859814
8D8001AC58AB0739352254F47DCE,176CF146699C32
8D8001AC58AB037B4FA30EC34C6D,176D163C168F18
8D8001AC9909930F580454D7515F,176D2704246A42
8D8001AC58AB037B67A334E9DF53,176D551C399146
8D8001AC9909930F580454D7515F,176D69BC485443
8D8001ACF82300030049B83A69D6,176D78D0BBA935
8D8001AC58AB07396F22B4D38F16,176D8DA4795D2D
8D8001ACEA408858013C08D77BBC,176D9A6F8B932F
8D8001AC9909930F580454D7515F,176DA9451F5312
8D8001AC58AB07398322D4ADBE1C,176DC45C171D2E
8D8001AC58AB07399722F64676A3,176DF694870A22
8D8001AC9909920F580454D45B91,176E2E6A96621C
8D8001AC58AB0739AB231973544E,176E2ECE5C4019
8D8001ACEA408858013C08D77BBC,176E34226D6C1F
8D8001ACE11C0600000000DBCDF0,176E6567F24217
8D8001AC58AB037BD1A3E2B35B14,176E67A566D314
8D8001AC9909920F7804549127B8,176E76797BB336
8D8001AC58AB037BEBA40E71456D,176EAB3A67E014
8D8001ACEA408858013C08D77BBC,176ED45D441139
8D8001AC9909920F7804549127B8,176F000F0C2C35
8D8001AC58AB073A0523A9E45719,176F19DC78E13A
8D8001AC9909920F980454B4A76E,176F3250EA291E
8D8001AC58AB073A1323C117D833,176F40B2298E18
8D8001ACEA408858013C08D77BBC,176F6FFA3C4219
8D8001AC9909920F980454B4A76E,176F783D9DBB20
8D8001AC58AB037C3DA4923458FF,176F823380C61B
8D8001AC9909920F980454B4A76E,176F98DEE2E932
8D8001AC230490F7C39820F4C8AE,176FAE95886632
8D8001AC9909920F980454B4A76E,176FB4F48A0F16
8D8001AC58AB037C55A4B76B7303,176FB866596819
8D8001AC9909920FB80454F1DB47,176FDB569D0530
