raw_hexCode,raw_timeStamp
8D8007B358C3813F92365A21E311,0D068475B5B530
8D8007B399556321A00863EF2A21,0D06B4C852A92B
8D8007B358C39169221B355E7C02,0D3788BC087038
8D8007B39955612140046384E56B,0D37A726AD9A15
8D8007B358C3817C5A0E99F91F1F,0D4E79779A883A
8D8007B399555E20E804632E558E,0D4EA249384332
8D8007B399555E20E804632E558E,0D4EDFEF6BA739
8D8007B358C3817CC40E527719F2,0D4EFAB2D7C32A
8D8007B399555E20E804632E558E,0D4F1C5FA46E32
8D8007B358C385436B8DF1C5AF1B,0D4F3699445B37
8D8007B358C38543D58DAC0917EA,0D4FB73BAE8B34
8D8007B399555E20E804632E558E,0D4FDA9FAB282E
8D8007B399555D20E808636310DC,0D50E747DE1F35
8D8007B358C3817E7A0D33FF2417,0D510BDC83E617
8D8007B3E908C300091810B4F0F5,0D511DBF19E118
8D8007B3232473F9E75DE05F9E60,0D511EF0759216
8D8007B399555D20E808636310DC,0D5124E7A6C11C
8D8007B358C3817EB60D0DC75ECD,0D51527082CE1F
8D8007B358C3817F1C0CC93C6186,0D51CF1F768B2A
8D8007B358C385462B8C23C12BB5,0D5296BE6A832D
8D8007B399555D20E804632B4ADC,0D53A5C66AD415
8D8007B3E908C300091810B4F0F5,0D53A6F313372F
8D8007B3232473F9E75DE05F9E60,0D53AA8A6C2E2C
8D8007B358C38180E00BA107BAFC,0D53EB234BFC2E
8D8007B399555D20E808636310DC,0D5420648DFB11
8D8007B358C38547778B4A337F9D,0D5429FA8D5E17
8D8007B3E908C300091810B4F0F5,0D544AF59A1117
8D8007B358C38181320B6B8EBE15,0D544FC235FE11
8D8007B358C381814E0B583B4408,0D546FEDA6B315
8D8007B399555D20E808636310DC,0D548806BDAC2F
8D8007B3E908C300091810B4F0F5,0D5499EC31C832
8D8007B399555D20E808636310DC,0D54A076122C2E
8D8007B358C38547E78AFFF3D937,0D54B388E95040
8D8007B3E908C300091810B4F0F5,0D54E71510913D
8D8007B3232473F9E75DE05F9E60,0D54F1D0277336
8D8007B358C38181BE0B0EC0C75B,0D54F5EE0A5016
8D8007B399555D20E808636310DC,0D54F69599E137
8D8007B3F800000000282807FD0A,0D550B0489213C
8D8007B358C38548338ACEF40995,0D5512332B1214
8D8007B358C38548518ABA22BF52,0D553437A7CF1C
8D8007B3E908C300091810B4F0F5,0D5538558DB939
8D8007B399555D20E808636310DC,0D55398924E313
8D8007B358C38182080ADD178556,0D5552DB5BE435
8D8007B399555D20E808636310DC,0D555BBC25D11B
8D8007B3BF543800000000C55B54,0D556ED1E04717
8D8007B358C38182260ACAEF920D,0D55739738C41C
8D8007B399555D20E808636310DC,0D557A3410FE37
8D8007B399555D20E804632B4ADC,0D559A9313F317
8D8007B3F800000000282807FD0A,0D55ABE9B33E21
8D8007B358C38548BB8A758910E6,0D55B5FF2DF21B
8D8007B399555D20E804632B4ADC,0D55C105E67212
8D8007B358C38182780A94F94238,0D55D83AA2063A
8D8007B3E908C300091810B4F0F5,0D55D96B07222D
8D8007B399555D20E804632B4ADC,0D55DF6BDBA933
8D8007B358C38182940A817A1D05,0D55F7DC1CEB1C
8D8007B399555D20E804632B4ADC,0D560199AB1F18
8D8007B399555D20E804632B4ADC,0D56226BF69C19
8D8007B358C38549218A31E31CD4,0D5634E049CB17
8D8007B399555D20E804632B4ADC,0D564964673813
8D8007B399555D20E804632B4ADC,0D56699598561F
8D8007B358C38182FA0A3E0E4510,0D5674558A6215
8D8007B3E908C300091810B4F0F5,0D567A50223B1B
8D8007B399555D20E808636310DC,0D56A5709C2816
8D8007B358C385498389F1415FF2,0D56AD3EAD9643
8D8007B399555D20E808636310DC,0D56C844C2AF3E
8D8007B3E908C300091810B4F0F5,0D56CBD669A533
8D8007B399555D20E804632B4ADC,0D57A884F4CE3B
8D8007B399555D20E804632B4ADC,0D582F23609818
8D8007B358C3754C53881865F75E,0D5A21079D352C
8D8007B358C3718638081DD1032A,0D5A5D86483A19
8D8007B399555D20C804636E36F5,0D5AA8CFA74D38
8D8007B358C38186A207D72439E3,0D5ADD916D023A
8D8007B399555D20C804636E36F5,0D5B6A0D6D8611
8D8007B358C375541B82FCF77198,0D63A920B09A31
8D8007B358C375560D81B3BF0300,0D660EA25A5834
8D8007B3E908C300091810B4F0F5,0D66308D68E413
8D8007B358C371902001995C7C85,0D664E30C9B612
8D8007B399555E20E804632E558E,0D665942930D18
8D8007B3F800000000282807FD0A,0D669193A36819
8D8007B399555E20E804632E558E,0D669482A1FC15
8D8007B358C375567F8169B262E6,0D66978AF5CB17
8D8007B358C3755695815A1C21C0,0D66B2555A7338
8D8007B358C3719090014ED5F54D,0D66D53CEAB517
8D8007B399555E20E804632E558E,0D66D65DAADF17
8D8007B358C37190AC013BE9504F,0D66F56206FD35
8D8007B358C37556E78125E84B69,0D6717994B2A22
8D8007B399555E20E804632E558E,0D67339107AF2E
