raw_hexCode,raw_timeStamp
8D800CD49941BE98C80857594648,1D28628F141C30
8D800CD49941BE98C80858A6E600,1D2885457B8732
8D800CD460AB01690AD1707EA4CD,1D28AB6AE71939
8D800CD49941BE98A004584F9A73,1D28B621CDF616
8D800CD460AB051EAA5001C4D9AE,1D28D0B2FAB612
8D800CD49941BE98A004584F9A73,1D28F9252D6516
8D800CD460AB0168C2D1BFA02281,1D290FFD16FE15
8D800CD49941BE98E00458C56221,1D291EEC9ED818
8D800CD49941BE98E00458C56221,1D2941B5066B18
8D800CD460AB0168A2D1E36C8D18,1D2948D8FDE436
8D800CD49941BE98C00458801E08,1D295F7FF00A13
8D800CD460AB051842570EA27452,1D335562AA2913
8D800CD4202473F2CB0E2034604B,1D335F84E76731
8D800CD49941BE98A004584F9A73,1D336F9B316314
8D800CD468AB016256D8D5C86BBD,1D33732DD2C510
8D800CD49941BE98A004584F9A73,1D3394C5BED51D
8D800CD468AB051812574215F0BF,1D3396979A4B18
8D800CD468AB05180457531B59F8,1D33AF9B2DA917
8D800CD468AB0517F45765917453,1D33CBD9A5A51B
8D800CD49941BE98A8045821387B,1D33CFFEE2961E
8D800CD460AB0517DC577F59D548,1D33EDC9B67B19
8D800CD49941BE98A004584F9A73,1D33EE6E884514
8D800CD49941BE98A004584F9A73,1D340BD46D2915
8D800CD49941BE98A004584F9A73,1D342ADB03A618
8D800CD49941BE98A004584F9A73,1D344A0AC9563D
8D800CD460AB016190D9B117EDC2,1D34A7D6DC432E
8D800CD49941BE988004580AE65A,1D34D85391DF3F
8D800CD460AB051740582B6E71F7,1D34E443185932
8D800CD460A9F15AC4E14FC3DB90,1D3FC37F588E3C
8D800CD460A9F510985F9C412321,1D3FE442B46F31
8D800CD460A9F5104C5FF3362852,1D4063139BE82A
8D800CD460A9F50D68632AB2FDCE,1D4534F1B69C32
8D800CD460A9F50D5A633C31A980,1D4552635D6331
8D800CD460A9F15730E550EF2E4C,1D458D0B004D32
8D800CD49941BF9880045809EC94,1D45A01DA0FF2C
8D800CD460A9F50D0C63924C7F75,1D45CBDBFC862D
8D800CD49941BF9880085841B694,1D45DABCDD852F
8D800CD49941BF98A004584C90BD,1D4620B30E2C11
8D800CD49941BF98A0085804CABD,1D46F1F8000336
8D800CD49941BF98A0085804CABD,1D472DCAA6791F
8D800CD460A9F15612E68E8C200D,1D4747127F8C2E
8D800CD49941BF98A004584C90BD,1D474DA040CC35
8D800CD460A9F50C0464B9DD5960,1D476579A75717
8D800CD460AB1143CEFADE348A06,1D64C7AFCFD338
8D800CD460AB14F9FE78B88D3034,1D6501B1182139
8D800CD49941BF98C004588314C6,1D6505DCFCAF19
8D800CD460AB14F9DE78DACA12D6,1D65391C6FF815
8D800CD49941BE98A004584F9A73,1D6547A8230B19
8D800CD4202473F2CB0E2034604B,1D656EFE1C5F2F
8D800CD49941BF98A004584C90BD,1D65883F5FF618
8D800CD460AB14F988793ABA1E82,1D65B7ECC08F37
8D800CD49941BF98C80458EDB6CE,1D65C1B8253F36
