raw_hexCode,raw_timeStamp
8D8013AB990971A23004634949BC,19057B6BA1003D
8D8013AB58C90753E71020A74BBB,1905A0A0F82B10
8D8013AB990971A23004634949BC,1905B452B2A932
8D8013AB58C90395C790D9EB9E19,19065D46FE9133
8D8013AB990971A23004634949BC,190689FDB38B13
8D8013AB58C90394F991631246A2,19074D6A28683E
8D8013AB58C90394CB91826B6600,190783D357BB3A
8D8013AB990971A23008630113BC,1907C80DF64E32
8D8013AB990971A23008630113BC,19081124727114
8D8013ABE1152600000000A20429,19083AC6CA1616
8D8013AB990970A2300863021972,1908511FC8B71C
8D8013AB234C52B7CB9CA0BEF874,1908696B901518
8D8013ABF82300060049B8053776,19087718392715
8D8013AB990971A23008630113BC,190893ED50B443
8D8013AB58C907516511CDF5E8F1,190897BAEDE235
8D8013AB990971A23008630113BC,1908D0AEB00535
8D8013AB58C907512D11F4EF17A6,1908DAAEFF6911
8D8013AB990971A23004634949BC,19090B47CEAF38
8D8013AB58C90750FB1215BD0D05,1909163AB2AA38
8D8013AB990971A23004634949BC,190986BF47F52F
8D8013ABF82300060049B8053776,1909AE94A6633E
8D8013AB990971A238046327EBB4,1909B94653C93A
8D8013AB58C90392CD92D8AE8923,1909D208E33737
8D8013AB990971A238046327EBB4,1909F46BAA6314
8D8013AB58C903929992FB304DC7,190A0FDC09CF15
8D8013ABEA4C48656F3C083FFB6B,190A2385BA5217
8D8013AB990971A23808636FB1B4,190A39E0CAB117
8D8013AB990971A23808636FB1B4,190A818215F336
8D8013AB58C9074FB512EFBC4365,190A95D12C6116
8D8013ABEA4C48656F3C083FFB6B,190AC0183A9331
8D8013AB990971A23808636FB1B4,190AC9D9155637
8D8013ABE1152600000000A20429,190AD021E1543C
8D8013AB990971A23808636FB1B4,190B08D582691E
8D8013AB58C9074F4B1336F330B0,190B13DA11A413
8D8013AB58C9074F11135D2C5CD6,190B5776AC6F1C
8D8013AB990971A23808636FB1B4,190B8194149411
8D8013AB58C9074ED71384B045E1,190B9A93AB4216
8D8013AB990971A23808636FB1B4,190BB4F3966840
8D8013AB990971A2580863A035CF,190BED0335771C
8D8013ABEA4C48656F3C083FFB6B,190C01E714FE1D
8D8013AB58C9074E5F13D5C874F5,190C299F275C33
8D8013AB990971A2580463E86FCF,190C65D8C88D19
8D8013ABEA4C48656F3C083FFB6B,190C9FCBF3D117
8D8013AB990972A2580463ED709D,190CA908050D18
8D8013AB58C90390519482B0E2FB,190CB16783AC1B
8D8013AB990972A250046383D295,190CDF896B493D
8D8013AB58C9074DBB144274B46E,190CE9E349FC19
8D8013AB990972A2580463ED709D,190D17AAE8EE1E
8D8013AB58C9038FE594CBC5AD6D,190D2F504F571C
8D8013ABEA4C48656F3C083FFB6B,190D4416D3EA16
8D8013AB990972A2580463ED709D,190D5CC28B471B
8D8013AB234C52B7CB9CA0BEF874,190D6FE82E4F20
8D8013AB58C9074D4314931943D1,190D75FCADEE18
8D8013ABF82300060049B8053776,190D7B33231619
8D8013AB990972A2580463ED709D,190DDB20BEDB1B
8D8013AB58C9038F4195395631BE,190DEE2EC69D17
8D8013AB990972A250046383D295,190E135FB12713
8D8013AB990972A250046383D295,190E4C513BC83D
8D8013AB58C9038EDD957D10C40A,190E62DEF70A17
8D8013ABEA4C48656F3C083FFB6B,190E85FD09A416
8D8013AB990972A250046383D295,190E94E0D74C19
8D8013ABF82300060049B8053776,190EC57CDCC619
8D8013AB990972A250046383D295,190ED644574A14
8D8013AB58C9038E7195C5E01846,190EE15D14D819
8D8013ABEA4C48656F3C083FFB6B,190F1E964FC017
8D8013AB58C9038E3195F0940D43,190F2905046047
8D8013AB58C9038E03960FFF8FF8,190F603DA0671C
8D8013AB58C9074B6D15CDEB51E5,190FA0CCE7BA37
8D8013AB990972A2580463ED709D,190FA5DBB35111
8D8013ABEA4C48656F3C083FFB6B,190FB981DFBE37
8D8013AB990972A2580463ED709D,190FE74F5ACF16
8D8013AB234C52B7CB9CA0BEF874,1910062828B418
8D8013ABF82300060049B8053776,19100BA30B3118
8D8013AB58C9038D5F967D8F7950,19101E7CF62115
8D8013ABEA4C48656F3C083FFB6B,19105BF2C7A838
8D8013AB58C9074ACB163AAB4FD8,19106004DF1B35
8D8013AB990972A2580463ED709D,19106ACA8A4E43
8D8013AB58C9074A97165D589262,19109DE3C6FB19
8D8013AB990972A2580463ED709D,1910ACA329C219
8D8013AB58C9074A63167F96DA0B,1910DA19ED2E40
8D8013AB990972A250046383D295,1911229A5C3C31
8D8013AB990972A250046383D295,19115C1B90B235
8D8013AB58C9038C49973758DB02,19115E958D5B33
8D8013AB58C9038C1B9756E9791B,19119478856C14
8D8013ABEA4C48656F3C083FFB6B,19119D33181535
8D8013AB990972A250046383D295,1911A1074A9036
8D8013AB990972A250046383D295,1911DACB7D2C47
8D8013AB990972A250046383D295,19121DBAD0D536
8D8013ABEA4C48656F3C083FFB6B,19123A6CA21235
8D8013ABF82300060049B8053776,191281B53EE010
8D8013AB234C52B7CB9CA0BEF874,191285128DCF18
8D8013AB58C90748F7177430A4EA,191289E9B7D213
8D8013AB990972A250046383D295,19129B2B177A3D
8D8013AB58C90748C91793105369,1912C10A344132
8D8013AB990972A250046383D295,1912DB069A7934
8D8013ABEA4C48656F3C083FFB6B,1912DB79384535
8D8013AB58C9038AB1984891FCE6,19133506D0A613
8D8013ABEA4C48656F3C083FFB6B,19137A4D6EB415
8D8013AB58C90747F5182001F74E,1913B65DC1212B
8D8013ABF82300060049B8053776,1913C3366D9015
8D8013AB990972A2580463ED709D,1913DE2041F312
8D8013AB58C9038A0198BEE64097,19140492E8322F
8D8013AB990972A2580463ED709D,19141E3DF25A36
8D8013ABEA4C48656F3C083FFB6B,19141EDC5C013C
8D8013AB58C90389CB98E28C9AF5,191443595C6017
8D8013AB990972A2580463ED709D,19145F130BD21C
8D8013AB58C903898D990C2186F0,19148A5F978B31
8D8013AB990971A2580463E86FCF,19149B89FB4933
8D8013ABE1152600000000A20429,1914B7C7438438
8D8013ABEA4C48656F3C083FFB6B,1914C51DD7F237
8D8013AB990972A2780463A80CB4,1914D73EDFB418
8D8013ABF82300060049B8053776,1915002C50AA17
8D8013AB234C52B7CB9CA0BEF874,19150BBF1BF237
8D8013AB58C90746A319025E9FF2,191546A6D83932
8D8013AB990971A2700463C3B1EE,19155A7F9CAC32
8D8013ABEA4C48656F3C083FFB6B,19155FDA343214
8D8013AB58C907466919284AC440,191588E9B6B62E
8D8013AB58C903887999C4C11BAD,1915C99F8F6331
8D8013AB58C907456519D66AC030,1916B8A83C4A38
8D8013ABE1152600000000A20429,191720CDAA1019
8D8013AB58C903873D9A981E63B1,1917342BD7C330
8D8013AB990971A2700463C3B1EE,191751ED2F2D13
8D8013AB58C90387019ABF21B910,191777053F3E17
8D8013ABF82300060049B8053776,19177880B5F137
8D8013AB234C52B7CB9CA0BEF874,191782DF6B0714
8D8013AB990971A2780463AD13E6,19189770CA6416
8D8013AB58C90385ED9B78FF6868,1918B844D6BB13
8D8013ABF82300060049B8053776,1918BA4031F93B
8D8013AB58C90385B19B9F0BB312,1918FAABA0B812
8D8013AB990971A2700463C3B1EE,1919A670737437
8D8013ABEA4C48656F3C083FFB6B,1919B48FAC6728
8D8013AB58C90380CB9F002801BC,191EC3AA3BDD36
8D8013AB58C90380079F9DE95404,191FC2C0FA1F34
8D8013ABEA4C48654D3C08612FC0,191FF6EEFD5D3D
8D8013AB58C9037FD99FC3A77E10,192001BAA45836
8D8013AB99098E9D9804633C67DF,1920366153DD2F
8D8013AB58C9037FA79FEE099816,192045037CEF33
8D8013ABEA4C48654D3C08612FC0,19209BA5B3A933
8D8013AB9909919CF80463F9D00D,1920B6CC80C03F
8D8013AB9909929C9808637B1124,19210106A09A39
8D8013ABEA4C4865493C08567EC4,192140F0B5852E
8D8013AB58C9073CD31FF65A9D93,192142DC4EE211
8D8013AB9909959BF808636E538C,19217069552D2C
8D8013AB234C52B7CB9CA0BEF874,19218C91E18639
8D8013ABEA4C4865493C08567EC4,1921DEC4E8A541
8D8013AB9909A89778046385645A,192489EDCC6034
8D8013AB58C9037CBFA2CBA0BFFD,1924B079783830
8D8013AB9909A89778046385645A,1924C4E08DE219
8D8013AB58C9037C99A2F7C85360,1924F1266F9339
8D8013AB9909A997580463C312BD,192509CC215C17
8D8013AB58C9037C75A320419866,19252ED0063715
8D8013AB9909A997580463C312BD,19254842A9A341
8D8013ABF82300060049B8053776,192567E4BA6F38
8D8013AB58C9073A3B22AA7250CC,19257457AA3540
8D8013ABEA4C4865493C08567EC4,1925A4D532061B
8D8013AB58C9037C29A377B364B4,1925B1DD7D351C
8D8013AB9909A99738086344CCC6,19260A14587B1E
8D8013AB58C9037BDBA3D07AED1D,192637FB8A6317
8D8013AB9909A9973804630C96C6,192644B5A02319
8D8013ABEA4C4865493C08567EC4,1926472C943E1D
8D8013ABE1152600000000A20429,1926526E5FBF1B
8D8013AB9909A9973804630C96C6,19268E6D865B46
8D8013AB234C52B7CB9CA0BEF874,192694D4924E16
8D8013AB58C9037B95A41F634BA9,1926AF37622D18
8D8013ABF82300060049B8053776,1926AFD3440F24
8D8013AB9909A9973804630C96C6,1926CF3F6A6A19
8D8013AB58C9073965239BEB6814,1926E768E2B31B
8D8013AB9909A9973804630C96C6,19270A66A04319
8D8013AB58C9037B4FA46FA95BC4,192727DAE9013D
8D8013AB58C9037B27A49CF2316D,19276B2AA5353E
8D8013ABEA4C4865493C08567EC4,1927839B09DA33
8D8013AB9909A9973004636234CE,19278DA28CFE1F
8D8013AB9909A9973008632A6ECE,1927CC20FFD21E
8D8013AB58C90738CD24492F1628,1927F059986D19
8D8013ABF82300060049B8053776,1927F3811E611C
8D8013AB9909A9973008632A6ECE,1928060DE97722
8D8013ABEA4C4865493C08567EC4,192823D52B2D22
8D8013AB58C90738AB2471CD3AD1,19282C39CEDF1F
8D8013AB9909A9973008632A6ECE,19284BBC877C20
8D8013AB58C9037A97A542A1CC13,1928649673661E
8D8013AB9909A9973008632A6ECE,192891BE95FA20
8D8013AB58C9037A73A56B4D5814,1928A30D5EFB22
8D8013ABEA4C4865493C08567EC4,1928C58B0E613D
8D8013AB9909A9973008632A6ECE,1928D4CDA7011E
8D8013ABE1152600000000A20429,1928DE470C011C
8D8013AB58C9037A4DA59792D731,1928E3BD96AD18
8D8013AB234C52B7CB9CA0BEF874,192904C98C1C1D
8D8013AB9909A9971004632748E7,19290C94710B18
