raw_hexCode,raw_timeStamp
8D8013FE9921E807380453A12876,13E30D2C639A2E
8D8013FEEA408864015C083F5906,13E30DC4F1EC3B
8D8013FE58AB01950101086AF1D1,13E3203F99C632
8D8013FEEA408864015C083F5906,13E9E63A764A32
8D8013FE58AB119669070AA34DAC,13EB1459F1AA13
8D8013FEEA408864015C083F5906,13EB2DFAAB5216
8D8013FE9921E807300453CF8A7E,13EB8EFC646431
8D8013FE9921E807300453CF8A7E,13EBCC019C7B33
8D8013FEF8230006004AB836DD41,13EBE046318547
8D8013FE58AB11969307C22A762C,13EC099F6A7531
8D8013FE9921E807380453A12876,13EC844293BE33
8D8013FE58AF853C42AEF43949EE,1B000D91365538
8D8013FE58AF81845D2D10D7E709,1B081BE546A036
8D8013FE9925B500D80455996688,1B23B29F6AB733
8D8013FE23594277CB682046B62C,1B23E1EF3AC929
8D8013FE58AF8182ED19AABD35A1,1B24E7E5DBEC3D
8D8013FE58AF8182F717FA425983,1B2766B6780437
8D8013FE58AF8182F917CA012365,1B27AD450ACC17
8D8013FE58AF85384294C0254EF5,1B27EFA7813E3B
8D8013FE9925B500D00455F7C480,1B2810A90AE42A
8D8013FE9925B500D80455996688,1B28C25C028615
8D8013FE23594277CB682046B62C,1B28E4EDA5BA3A
8D8013FE58AF8182FF16F2228667,1B28ECAD742815
8D8013FE58AF8182FF16CBDC236A,1B2928818A992F
8D8013FEE1143500000000436D3E,1B29380137F139
8D8013FE9925B500D80455996688,1B29438CFBE331
8D8013FEF8230006004AB836DD41,1B39B216ECF233
8D8013FEEA428864015C082AE12B,1B4D5D4846B115
8D8013FE9925BB00B80455448A27,1B4D620CA1E217
8D8013FE9925BB00B80455448A27,1B4D9FAA7A8B18
8D8013FEF8230006004AB836DD41,1B4DA9CC74B614
8D8013FE58AF818386FDDEA0E243,1B4DAD5FFD3C13
8D8013FE58AF8538CE7B518F3BFA,1B4DF0F3BB6944
8D8013FEEA428864015C082AE12B,1B4E0013D4F73B
8D8013FE9925BA00B80454B874E0,1B4E1DE1028B2E
8D8013FE58AF8538CE7B267249D6,1B4E2FC2AE552C
8D8013FE23594277CB682046B62C,1B4E6B96BC7917
8D8013FE9925BA00B804554780E9,1B4E94F0859414
8D8013FEEA428864015C082AE12B,1B4E9D49250B13
8D8013FE58AF81838AFD26FCC5EB,1B4EB94C99BE19
8D8013FEE1143500000000436D3E,1B4ED7536A1111
8D8013FE58AF8538D07A9CE51017,1B4F0014506017
8D8013FEEA428864015C082AE12B,1B4F38B4467113
8D8013FE58AF81838CFCCEDB0591,1B4F39E558D41B
8D8013FE9925BA00B80454B874E0,1B4F5589CE3D36
8D8013FE58AF81838CFCA326FB12,1B4F794D040134
8D8013FEEA428864015C082AE12B,1B4FDAE74B5615
8D8013FE9925BA00B80454B874E0,1B4FDE7AD37032
8D8013FE58AF8538D479F13DA910,1B5001DEB48514
8D8013FEF8230006004AB836DD41,1B501F13AAF017
8D8013FE58AF81838EFC1F3B3C62,1B503A7EBC3A19
8D8013FE9925BA00B80454B874E0,1B50620EC54F1B
8D8013FEEA428864015C082AE12B,1B5078B5454337
8D8013FE58AF818390FBF38B0F36,1B5079E648553A
8D8013FE9925BA00B80454B874E0,1B509CB1A1DF1D
8D8013FE58AF818390FBCC758E16,1B50B2BF64D022
8D8013FE9925BA00B804554780E9,1B50E6D3D47F3D
8D8013FE23594277CB682046B62C,1B50ED625B0212
8D8013FEF8230006004AB836DD41,1B515B80F4DD1B
8D8013FE9925BA00B80454B874E0,1B51650A60F317
8D8013FE9925BA00B80454B874E0,1B51A63C15C134
8D8013FE58AF818394FAFA4DD7D7,1B51E805B42515
8D8013FE9925BA00B80454B874E0,1B51EB99419D38
8D8013FE58AF8538DA787F76AD9F,1B522472821B39
8D8013FEEA428864015C082AE12B,1B525D4BC47D2E
8D8013FE58AF8538DC7850A435E1,1B526937DF5B2D
8D8013FE58AF818396FA42502891,1B52F359999E18
8D8013FE9925BA0090045493AAC1,1B5323DA67C01D
8D8013FE9925BA0090045493AAC1,1B53689F501F32
8D8013FE58AF8538DE77A4E04D1D,1B536B9A3DDF43
8D8013FE23594277CB682046B62C,1B536D64140D2E
8D8013FEEA428864015C082AE12B,1B53A0DFCE2A1C
8D8013FE9925BA0090045493AAC1,1B53A210F2AE1C
8D8013FEE1143500000000436D3E,1B53D3C313E617
8D8013FEF8230006004AB836DD41,1B53DB82BFF814
8D8013FE9925BA0090045493AAC1,1B53DC1B4AA11D
8D8013FE58AF81839AF9981FC412,1B53ED64750914
8D8013FE9925BA00980454FD08C9,1B5420481E3214
8D8013FEEA428864015C082AE12B,1B54460DDFD232
8D8013FE58AF81839AF949E45563,1B5462AA200F2E
8D8013FE58AF8538E276D22D0D8D,1B54A3DB7FB812
8D8013FE58AF8183A0F83AFA204A,1B55EE96FB013E
8D8013FE58AF8183A4F73C9719E3,1B57604A3EC02F
8D8013FEEA428864015C082AE12B,1B5764761CE513
8D8013FE9925BA00980454FD08C9,1B57814B6DB430
8D8013FEF8230006004AB836DD41,1B57A3DD98091C
8D8013FE9925BA00980454FD08C9,1B57CB6E17391E
8D8013FE58AF8538EA74A45D32A0,1B57E3DDDB8A1C
8D8013FEEA428864015C082AE12B,1B580741C9911E
8D8013FE9925BA00B80454B874E0,1B580D3786DC3F
8D8013FE58AF8183A6F6B485CA4D,1B582640ABF31E
8D8013FE9925BA00B80454B874E0,1B585032CE1720
8D8013FE58AF8183A6F6897B5776,1B5866D934C726
8D8013FE9925BA00B80454B874E0,1B5891FCA6291C
8D8013FEEA428864015C082AE12B,1B58A8A3046C1D
8D8013FEE1143500000000436D3E,1B58D45FDDC73C
8D8013FE9925BA00B80454B874E0,1B58D4F7EA661B
8D8013FEF8230006004AB836DD41,1B58E77204491C
8D8013FE58AF8183A8F6013E7A54,1B592D6820DB20
8D8013FEEA428864015C082AE12B,1B594C9FF23C22
8D8013FE9925BA00B804554780E9,1B595D5103C025
8D8013FE58AF8183A8F5D528319A,1B596CCFEB5728
8D8013FE9925BA00B80454B874E0,1B59988BE7DE27
8D8013FEEA428864015C082AE12B,1B59EB0639A91F
8D8013FE58AF8183AAF57ECAC616,1B59ED68B10522
8D8013FE9925BA00B80454B874E0,1B5A575B8CE419
8D8013FEEA428864015C082AE12B,1B5A8F03394B30
8D8013FE9925BA00B80454B874E0,1B5A90CD03533A
8D8013FE58AF8538F272C3376B4C,1B5AB0FCDFDE33
8D8013FEF8230006004AB836DD41,1B5CA479AB0D34
8D8013FE9925BA00B80454B874E0,1B6607E3FC071B
8D8013FE58AF8539146B1B8F43DB,1B661E8A6AD417
8D8013FE9925BA00B80454B874E0,1B664C106E7D3B
8D8013FE58AF8539146AF07B9235,1B665E8A954019
8D8013FEEA428864015C082AE12B,1B6668ACB38C18
8D8013FEF8230006004AB836DD41,1B66A8ACD1F21D
8D8013FE58AF8183D2ECA9D3A8A9,1B66DA5F2A9517
8D8013FE58AF8539166A74670441,1B6719C65B043A
8D8013FE9925BA00B80454B874E0,1B678E73E75A16
8D8013FE23594277CB682046B62C,1B679F2416EB2F
8D8013FE9925BA00B80454B874E0,1B69749AB6F136
8D8013FE58AF853920689B353AA6,1B69D7664A4849
8D8013FE9925BA00B80454B874E0,1B69FA90C22D17
8D8013FE58AF8183DCEA75B1F305,1B6A16CD989F15
8D8013FE23594277CB682046B62C,1B6A1FBE78861E
8D8013FE58AF7183E2E8D998D131,1B6C6C44AC8D14
8D8013FE9925BB00B80454BB7E2E,1B6CB0709C842E
8D8013FEF8230006004AB836DD41,1B6CE77FFA9036
8D8013FE9925BB00B80454BB7E2E,1B6CF9FA34EB17
8D8013FE9925BB00980854B65807,1B6D3B2C49EA37
8D8013FEEA428864015C082AE12B,1B6D43BCEB2139
8D8013FE58AF7183E6E81DAB3DA3,1B6D84EE445137
8D8013FE58AF8183FCE0EF9F7243,1B77F8D0B0BC22
8D8013FE9925BC00900454999465,1B78ED7E51A432
8D8013FEEA428864015C082AE12B,1B79C627EEA840
8D8013FE58AF8539445DE3279A34,1B79CC1DFD9E15
8D8013FE9925BC00980454F7366D,1B79F079CC6241
8D8013FE58AF8539445DBCDB59C4,1B7A06C0B08E1E
8D8013FE9925BC00980454F7366D,1B7A2C4E373D1D
8D8013FE58AF8539445D91252427,1B7A47F223BF1C
8D8013FEEA428864015C082AE12B,1B7A61936BFA1E
8D8013FE9925BC00980454F7366D,1B7A6FE1914118
8D8013FE58AF818400DF2B6DDA2F,1B7A8E8119D519
8D8013FEF8230006004AB836DD41,1B7AA22C359016
8D8013FE58AF818402DF0377C371,1B7ACA54C1403D
8D8013FE9925BC00980454F7366D,1B7AEBB5FAC422
8D8013FEEA428864015C082AE12B,1B7B06C1679926
8D8013FE58AF8539465D07394E90,1B7B117C94551E
8D8013FE9925BC0098045508C264,1B7B25277C7D17
8D8013FE58AF818402DEA37F0981,1B7B56D9820F1B
8D8013FE9925BC00980454F7366D,1B7B648F05AB18
8D8013FE9925BC00980454F7366D,1B7C278A83A52C
8D8013FE58AF8539485C388B99BE,1B7C47F37F3814
8D8013FEEA428864015C082AE12B,1B7C488C67EF3A
8D8013FE9925BC00900454999465,1B7C68234E6430
8D8013FE58AF85394A5BE6BE2085,1B7CC0CCC60E33
8D8013FEF8230006004AB836DD41,1B7D2823D4DA14
8D8013FEEA428864015C082AE12B,1B7D83C834F61F
8D8013FE58AF85394C5B6095FBEE,1B7D87F44E4F4C
8D8013FE9925BD009004549A9EAB,1B7DAB1F200D26
8D8013FE58AF85394C5B35695469,1B7DC6C3495923
8D8013FE9925BD00900854D2C4AB,1B7DF246F01515
8D8013FEF8230006004AB836DD41,1B836CECDA1437
8D8013FE23594277CB682046B62C,1B8372E2C0C117
8D8013FE58AF85395A570E2E0AE9,1B83EA8ACC1112
8D8013FEF8230006004AB836DD41,1B85F54759A52F
8D8013FE58AF91841CD6D05D9CE5,1B86B24CBF0515
