raw_hexCode,raw_timeStamp
8F06A2C7E100BB00000000B6AFD4,100E3261458978
8F06A2C738193398F27BD43BDBF3,100E6A53CCE784
8F06A2C7F9002C02884838F0ADF4,100E8BA1BA5782
8F06A2C7381936899A7989E12CE5,102137C2F9DC86
8F06A2C7E100BB00000000B6AFD4,10235153788784
8F06A2C7E100BB00000000B6AFD4,1024928513D288
8F06A2C7254544B6D318208AE1A2,1025C489280A8A
8F06A2C7E100BB00000000B6AFD4,1025D831EC2A8B
8F06A2C7E100BB00000000B6AFD4,10286C27B75778
8F06A2C7381936899A7989E12CE5,1029F563636185
8F06A2C7F9002C02884838F0ADF4,102A38ABF55A80
8F06A2C7254544B6D318208AE1A2,102ACEF18ACE89
8F06A2C7E100BB00000000B6AFD4,102AEBDD0B127B
8F06A2C7381936899A7989E12CE5,102B369689437A
8F06A2C7F9002C02884838F0ADF4,102B8222692A84
8F06A2C7E100BB00000000B6AFD4,102C339C9CA673
8F06A2C7381936899A7989E12CE5,102DAFBAC19681
8F06A2C7E100BB00000000B6AFD4,102EA92F13B586
8F06A2C7381936899A7989E12CE5,102EEA14AA6D78
8F06A2C7F9002C02884838F0ADF4,102F3A76AEB475
8F06A2C7E100BB00000000B6AFD4,102FEC76EA0F8A
8F06A2C738193398F27BD43BDBF3,10302C75B5D584
8F06A2C7E100BB00000000B6AFD4,103130A3668873
8F06A2C7254544B6D318208AE1A2,10324F423A6278
8F06A2C7E100BB00000000B6AFD4,103272211CAC78
8F06A2C7F9002C02884838F0ADF4,1032ED5AFF1977
8F06A2C7E100BB00000000B6AFD4,1033B2217CDD82
8F06A2C7381936899A7989E12CE5,1033E8512D9E77
8F06A2C7E100BB00000000B6AFD4,1034ED12B52E7F
8F06A2C7381936899A7989E12CE5,103530A3BB5F80
8F06A2C7E100BB00000000B6AFD4,103628E5D92080
8F06A2C738193398F27BD43BDBF3,10366A607F937F
8F06A2C7E100BB00000000B6AFD4,103766D0261D7C
8F06A2C7381936899A7989E12CE5,1037A9C856927E
8F06A2C7E100BB00000000B6AFD4,1038ACC5EA9C83
8F06A2C7381936899A7989E12CE5,1038EB4DDEBA79
8F06A2C7E100BB00000000B6AFD4,1039F73FF1F982
8F06A2C7E100BB00000000B6AFD4,103B46EECDDA89
8F06A2C7E100BB00000000B6AFD4,103F05BDF55385
8F06A2C7E100BB00000000B6AFD4,1041844103D788
8F06A2C7E100BB00000000B6AFD4,1044019C42E185
8F06A2C7F9002C02884838F0ADF4,1045852672768A
8F06A2C7E100BB00000000B6AFD4,104906F2824788
8F06A2C7E100BB00000000B6AFD4,104B8EFF0CFF8A
8F06A2C7E100BB00000000B6AFD4,104CCB6BF6CA8B
8F06A2C7E100BB00000000B6AFD4,104F44DE5C0D83
8F06A2C7E100BB00000000B6AFD4,105088BEECCB83
8F06A2C7E100BB00000000B6AFD4,1051B86FAB4587
8F06A2C7E100BB00000000B6AFD4,1055613336B487
8F06A2C7E100BB00000000B6AFD4,106D1B8F075787
8F06A2C7E100BB00000000B6AFD4,106FAB66DDB679
8F06A2C7E100BB00000000B6AFD4,10722BA8A91987
8F06A2C7E100BB00000000B6AFD4,1079C1AD4CE188
8F06A2C7F9002C02884838F0ADF4,107A20EF49E988
8F06A2C7381936899A7989E12CE5,107C222065848A
8F06A2C7381936899A7989E12CE5,107D5F269EAF8D
8F06A2C7E100BB00000000B6AFD4,107D8BC9761788
8F06A2C7F9002C02884838F0ADF4,107DE352F1498D
8F06A2C7E100BB00000000B6AFD4,107ECAA2AA0384
8F06A2C7E100BB00000000B6AFD4,1080091B5CDB87
8F06A2C7E100BB00000000B6AFD4,10828A01575E85
8F06A2C7E100BB00000000B6AFD4,108504F100A38A
8F06A2C7E100BB00000000B6AFD4,108C73BDED8589
8F06A2C73819368998798805706E,108C80C523498A
8F06A2C738193398F27BD43BDBF3,108DB585F0888B
8F06A2C7E100BB00000000B6AFD4,108DBAE5CE558A
8F06A2C7F9002C02884938FEA074,108DEF44438A8B
8F06A2C7254544B6D318208AE1A2,108EE81CF0D088
8F06A2C738193398F27BD43BDBF3,108EF1F427078D
8F06A2C7E100BB00000000B6AFD4,108F0AEA553E8A
8F06A2C7F9002C02884938FEA074,108F2ACC83FB88
8F06A2C7254544B6D318208AE1A2,109661468AC389
8F06A2C7E100BB00000000B6AFD4,109661DFDA1488
8F06A2C73819368998798805706E,1096766E731D87
8F06A2C7F9002C02884938FEA074,1096A8B8E5CD8B
8F06A2C7F9002C02884938FEA074,109A5EE4A4F98C
8F06A2C7381936899A79881ED8EC,10CBE963199483
8F06A2C7E100BB00000000B6AFD4,10D4F71EC82B89
8F06A2C7F9002C02884938FEA074,10EBC0E6E43772
8F06A2C7E100BB00000000B6AFD4,10EDFA21D6FA67
8F06A2C7254544B6D318208AE1A2,10EE098E670D6E
8F06A2C738193398F27BD3C40BD7,10EF21AFA5036E
8F06A2C7F9002C02884938FEA074,10EF88F4EE2C7F
8F06A2C738193398F07BD1DFBF4E,10F0670D5F358B
8F06A2C7E100BB00000000B6AFD4,10F076457E1193
8F06A2C7254544B6D318208AE1A2,10F08DC0302689
8F06A2C7F9002C02884938FEA074,10F0C645EDFB99
8F06A2C7E100BB00000000B6AFD4,10F1AA5A2CBD83
8F06A2C7381936899479845CCB38,10F1AE88CBC898
8F06A2C7F9002C02884938FEA074,10F2047C9A4C7F
8F06A2C7381936899079826BBE11,10F2E62B26FA84
8F06A2C7E100BB00000000B6AFD4,10F2F5F7428B8B
