raw_hexCode,raw_timeStamp
8D06A30A9915EA8758045591461D,1D336E0EA95C15
8D06A30AEA42885EF35C08DB5F01,1D338455965236
8D06A30AF8210002004AB856090D,1D33B36C7BE910
8D06A30A58AF87044B7C4C660E01,1D33E5B6458733
8D06A30A9915EA8758045591461D,1D33F36C40D43D
8D06A30A9915EA875804546EB214,1D3432D4C4CC3A
8D06A30AEA42885EF35C08DB5F01,1D37E0B1419A17
8D06A30A58AF87039579467C482E,1D37E5B9C5A615
8D06A30A254544B8E73C60B979A5,1D37ED7939FD1D
8D06A30A9915E987500455FAFB47,1D37F10C3DA41C
8D06A30A9915E987500455FAFB47,1D383073CA1E40
8D06A30A9915E987500455FAFB47,1D38740798192E
8D06A30AEA42885EF35C08DB5F01,1D3882458DFD19
8D06A30A58AF834497FAF355ECA9,1D38A356B3CF1E
8D06A30A9915E987500455FAFB47,1D38B23EE9E215
8D06A30AF8210002004AB856090D,1D38C3C0680317
8D06A30A9915E987500455FAFB47,1D38F9650E0E1C
8D06A30AEA42885EF35C08DB5F01,1D391DFB27C83F
8D06A30A9915E987500455FAFB47,1D3931A58F7619
8D06A30A9915E987500455FAFB47,1D396E122D6338
8D06A30A58AF83446BFA340F8EE7,1D399D6181CC3D
8D06A30A58AF8701A17110F7F020,1D42DDFF67EA3B
8D06A30A9915E98758045594594F,1D42F1AB491930
8D06A30A9915E987500455FAFB47,1D4332DCA0D233
8D06A30A58AF87018770A29643BC,1D436BB5458D16
8D06A30A9915E987500455FAFB47,1D43B5D7E1E32E
8D06A30AF8210002004AB856090D,1D4B783F204514
8D06A30A9915E9877804542ED16F,1D4BAA3DADB241
8D06A30A9915E987780455D12566,1D4C2875626A31
8D06A30A58AF834095EA24FADC3B,1D4EA959872448
8D06A30A58AF86FF756806796DAF,1D4EE2CBF1D630
8D06A30A9915E987700454407367,1D4EF92650E630
8D06A30A58AF83407FE9C742ECE5,1D4F22CD16FD18
8D06A30A9915E987700454407367,1D4F37F514082F
8D06A30AF8210002004AB856090D,1D4F39C0225735
8D06A30A9915E987700455BF876E,1D4F7168291334
8D06A30AEA42885EF35C08DB5F01,1D4F9BF1A09D19
8D06A30A58AF86FF536771B7D6AC,1D4FACEDACA63B
8D06A30A58AF83405BE930CAB524,1D4FE8C26CD41E
8D06A30A9915E987700454407367,1D4FF7F55FF517
8D06A30A58AF86FF3D671B3827FE,1D5023FD303B3B
8D06A30AE11C9400000000D7D4A0,1D502F52B98119
8D06A30AEA42885EF35C08DB5F01,1D503677E0B038
8D06A30A9915E987780455D12566,1D503B906F3E41
8D06A30A58AF834043E8CE72AE35,1D50682AF4861F
8D06A30A9915E987780455D12566,1D50775EA03918
8D06A30AF8210002004AB856090D,1D507AA5328A45
8D06A30A58AF834035E8984FD04D,1D50A95AB83218
8D06A30A9915E9877804542ED16F,1D50B29FE70B12
8D06A30AEA42885EF35C08DB5F01,1D50D8AACFAC19
