raw_hexCode,raw_timeStamp
8D800B0A9951312E48045BC94F2A,0CF8573D83412D
8D800B0A58B503F31C6CD5045112,0CFEEA67492F14
8D800B0A9951312E28045B06CB51,0CFF0E74FC933C
8D800B0A58B507AF3BEFA0355916,0CFF115BE88034
8D800B0A9951312E28045B06CB51,0CFF2B9E8B2118
8D800B0A58B507AF5DEFAED670AA,0CFF2C2F3AAE2F
8D800B0AF80000000028288F2755,0CFF4A3A1EE416
8D800B0A99519821800C5BC40782,0D48725929AB12
8D800B0A58B51400D413F1772323,0D48C80A319549
8D800B0A99519A21200C5B6D6A9A,0D4905AB31FB33
8D800B0AE908B400091810A65860,0D4937BA9BD42D
8D800B0A99519D20600C5BC55BF1,0D49F9010B0730
8D800B0A99519F2000045B7CA616,0D4B13008BAB38
8D800B0A58B51402B4156BCCFA91,0D4B1DBEBC2114
8D800B0AE908B400091810A65860,0D4B1F8A4B0B17
8D800B0A99519F2000045B7CA616,0D4B329D55B212
8D800B0AE908B400091810A65860,0D5208F7CBA212
8D800B0A58B3F419BC26DDECB0E4,0D672A15DAA046
8D800B0A58B3F067D8AB6CC65C1E,0D71091232C910
8D800B0AF80000000028288F2755,0D718D7ECC1938
8D800B0A58B3F4224C2D546D3A17,0D7193DCDCBB16
8D800B0A9951972120045B0A711C,0D71ACE50E4A2E
8D800B0A58B3F06886ABF0A7F9B8,0D71D816555C39
8D800B0A58B3F422B42DA3012835,0D7213E9DD6733
8D800B0A9951972120045B0A711C,0D721F44DAFB42
8D800B0A58B3F068EAAC3BE0B391,0D72505CEE4534
8D800B0A9951972120045B0A711C,0D72640D549E31
8D800B0A58B3F06958AC8E5B3143,0D72D23B06E93A
8D800B0A9951972120045B0A711C,0D72D78BF7AB32
8D800B0A9951982120045B1B1306,0D7567F3747435
8D800B0A9951992120045B1819C8,0D7B0B523D3832
8D800B0AF80000000028288F2755,0D8280B54EFA3C
8D800B0A9951982120045B1B1306,0D828283906132
8D800B0A58B504314238A8E8BD8B,0D83C0426D1039
8D800B0AF80000000028288F2755,0D845B16CBFB36
8D800B0A9951992120045B1819C8,0D8480529D3B37
8D800B0A99519A2120045B1D069A,0D8A74C88B7C36
8D800B0AE908B400091810A65860,0D8AAC707E533E
8D800B0A58B5007D72BBD265B53B,0D8AD2CBB6B437
8D800B0AE908B400091810A65860,0D8E1C138C8333
8D800B0A23241131E78CA044D674,0D8E348FE29A17
8D800B0A58B50439E43F371944C8,0D8E3788084234
8D800B0A99519A2140045BD282E1,0D8E6E017D8916
8D800B0A58B5008082BE27B426A0,0D8E76F7D30611
8D800B0A99519A2140045BD282E1,0D8EB2C99B1213
8D800B0A58B5043A503F89265D44,0D8EB95ED0181D
8D800B0A99519A2140045BD282E1,0D8EF5D1C23334
8D800B0A99519A2140045BD282E1,0D8F416878E217
8D800B0AE908B400091810A65860,0D8F63FE44A935
8D800B0A58B500815ABECAB63957,0D8F779DB37037
8D800B0A99519A2140045BD282E1,0D8F78D1155212
8D800B0A58B5043B1C40232058D5,0D8FB07E59F935
8D800B0A99519A2140045BD282E1,0D8FB384CE3A32
8D800B0A58B50081BEBF17513C2E,0D8FF081FDFB3A
8D800B0A58B5043B824070A9C84C,0D902C688D1F34
8D800B0AE908B400091810A65860,0D9058B443793B
8D800B0A99519A2160045B97FEC8,0D905BBB0D6C37
8D800B0A99519A2160045B97FEC8,0D90805704FA2E
8D800B0ABFF4C00000000089B374,0D9082B9868730
8D800B0A99519A2160045B97FEC8,0D90C18DD83410
8D800B0A99519A2160045B97FEC8,0D914363CF7C3E
8D800B0A58B50082FAC00697DEC7,0D91672D60B03B
8D800B0A99519A2160045B97FEC8,0D918BFA9EB037
8D800B0AE908B400091810A65860,0D9197AD379135
8D800B0A99519A2160045B97FEC8,0D91ABF81F1335
8D800B0A99519A2160045B97FEC8,0D91CD164FEE32
8D800B0A99519A2160045B97FEC8,0D9206768A0333
8D800B0AF80000000028288F2755,0D92273E61A845
8D800B0AE908B400091810A65860,0D928D4CA62637
8D800B0A99519A2140085B9AD8E1,0D93380B535831
8D800B0A23241131E78CA044D674,0D934F87866F12
8D800B0AE908B400091810A65860,0D938304B4DD36
8D800B0AF80000000028288F2755,0D9552A6CC4436
8D800B0AE908B400091810A65860,0D95FAB1096C37
8D800B0ABFF4C00000000089B374,0D9652304F802D
8D800B0A58B5108BCCC6BEBA2A9E,0D9BEB35BB2931
8D800B0A99519B2128045B70AE5C,0DA38EC77C343B
8D800B0A99519B2128045B70AE5C,0DA524F98CD813
8D800B0A99519B2128045B70AE5C,0DA9DE511B7134
8D800B0A58B5009E1CD4BD0FD4B7,0DB1CC19C2002B
8D800B0A58B5009EBAD535852E99,0DB28881E0313C
8D800B0A58B50458D256C5C03384,0DB3C1761F7338
8D800B0AE908B400091810A65860,0DB3D8B314EC18
8D800B0A58B500A064D67CF36272,0DB48659B90F37
8D800B0A99519B2120045B1E0C54,0DB4E42B82D018
8D800B0A58B50459E257957E98D6,0DB50CB428DB40
8D800B0A99519B2120045B1E0C54,0DB52006298D3A
8D800B0A99519B2120045B1E0C54,0DB56A320C2835
8D800B0AE9088C00091810EFFB30,0DB5B886898572
8D800B0A58B5045A7E580CCE026F,0DB5C9737AC715
8D800B0A99519B2128045B70AE5C,0DB5DDB8065B38
8D800B0A58B5045AB658373EE58E,0DB60DAED7F717
8D800B0A99519B2128045B70AE5C,0DB613A336AC10
8D800B0A99D19B2128045BE16923,0DB62F9EB29A39
8D800B0A58B5045AE258595C1E59,0DB6441E17E619
8D800B0A23241131E78CA044D674,0DB6497933FD1B
8D800B0A99D19B2128045BE16923,0DB65006FE841E
8D800B0A99D19B2128045C1EB907,0DB68723C1C335
8D800B0AE9088C00091810EFFB30,0DB6AA470E5414
8D800B0A58B3F45B4A58A89B7499,0DB6C1C2886D39
8D800B0A99D19B21281C5C8E0D07,0DB748F897DB36
8D800B0AF80000000028288F2755,0DB75DE303BA14
8D800B0A99D19B2108205DA2432E,0DB78C2802CE32
8D800B0A99D19B2108285C2DDB27,0DB7A9D3E2B032
8D800B0A58B3C0A38CD8E7EE90C1,0DB84CE43BCD3B
8D800B0A99D19A2108385CCE09E9,0DB856294B1916
8D800B0AE9088C00091810EFFB30,0DB892A3268D3B
8D800B0A58B3A45D2C5A1997D14F,0DB90CF67A7435
8D800B0AF80000000028288F2755,0DB93B43C5A214
8D800B0A99D19920E8405C171325,0DB94F19E4B31B
8D800B0A58B3945D9A5A6E659351,0DB9949005D834
8D800B0A99D19820E8405DEBEDE2,0DB9CC82F3DF15
8D800B0A58B370A544DA392B8DCC,0DBA5CF9D8C015
8D800B0A58B3645E6E5B11CCDB0F,0DBA996EE4E135
8D800B0AE9088C00091810EFFB30,0DBAC5C1D24716
8D800B0A99519720C8405CD1C0A7,0DBACF4AD48813
8D800B0A58B360A5A4DA82C71E2C,0DBAD249542A12
8D800B0A99519720C8405CD1C0A7,0DBB0BFFAC7336
8D800B0A58B350A60ADAD1FB4459,0DBB4E6D2ABE31
8D800B0A58B340A63ADAF752351D,0DBB8AD389BB36
8D800B0A99519620A8405C1D4E12,0DBB8B383A383F
8D800B0A58B3445F485BB816B926,0DBBA43AED682C
8D800B0AE9088C00091810EFFB30,0DBBB58C7CDD1C
8D800B0A58B3445F625BCC2455BB,0DBBC70F34A71B
8D800B0A58B330A68ADB34462F1B,0DBBE8767A0536
8D800B0A99519620A8405C1D4E12,0DBBE90FB9E417
8D800B0AE9088C00091810EFFB30,0DBC067E6C2314
8D800B0A58B3345F9A5BF7DFCCC3,0DBC0C1F5AAD18
8D800B0A99519620A8405C1D4E12,0DBC0DC26BCE11
8D800B0A9951952088405C5D2D69,0DBC4D501E261B
8D800B0A58B330A6DCDB73C1399B,0DBC4E2173711B
8D800B0AF80000000028288F2755,0DBC5DC07E443E
8D800B0A58B32460045C48059F2C,0DBC8EE3FF3739
