raw_hexCode,raw_timeStamp
8D800C619909868D58783382B3EC,1F5BCB0A431231
8D800C619909828D587430392AC6,1F6050681CB214
8D800C61F82300060049B895AD42,1F6051995BC330
8D800C619989828D587830E0B7B9,1F60DBBB462F37
8D800C615871E17F9A989793E714,1F61005030AF33
8D800C619989828D587830E0B7B9,1F61178F505B45
8D800C61EA159864013C0838D1E5,1F61434B59F343
8D800C615871C534C818696D4052,1F6177BF995B19
8D800C619989818D587830E5A8EB,1F6199F21D493A
8D800C615871A17F5E99050F0EEC,1F61B7267D023A
8D800C619989818D587830E5A8EB,1F61D9F2443A3C
8D800C61EA159864013C0838D1E5,1F61E118D18139
8D800C61E10526000000009F5F75,1F61E4AC7A6034
8D800C61587195349E18B7E02BCF,1F6202B2C1BD16
8D800C619989818D587830E5A8EB,1F621FE81B371C
8D800C619989818D3878302A2C90,1F6261B1735B11
8D800C61EA159864013C0838D1E5,1F628181AAF530
8D800C61587165346019244562A4,1F62BA218D4E17
8D800C619989808D38783029265E,1F62EE35D30F14
8D800C61587145344C1949C54AC2,1F62F8F0687C12
8D800C6199896F8CB87423979639,1F80AD0A5B9B25
8D800C61EA11A864013C0842549F,1F959E2768E216
8D800C615851A16EB0B6DD388A88,1F95F13A3B9117
8D800C619909638C58781C8177F8,1F9637C92D0440
8D800C61EA11A864013C0842549F,1F96448642382D
8D800C61F82300060049B895AD42,1F99C2BD2C5D37
8D800C61EA11A864013C0842549F,1F99F8622DD731
