raw_hexCode,raw_timeStamp
8D800CD49941DE8F480C5744A537,1CFB673CDED141
8D800CD49941C3980804580A71D9,1D161F782C2036
8D800CD49941C098680458C0EAF0,1D1D984D42B333
8D800CD460AB15245649B6FA47CB,1D1F6AD3DF961B
8D800CD49941BF98880458674E9C,1D1F7A59A6D11D
8D800CD468AB15242049F22436E5,1D1FAF9986EF17
8D800CD460AB116E58CB8BA77DE2,1D1FF588019615
8D800CD49941BF9888045798EED4,1D1FF61B430817
8D800CD460AB1523D24A491CF2DB,1D202D31B6DC3D
8D800CD49941BF98880458674E9C,1D203156E98C42
8D800CD49941BF98A804582232B5,1D2073B7374221
8D800CD4202473F2CB0E2034604B,1D20AD36A78240
8D800CD49941BF98A804582232B5,1D20B1F80AC115
8D800CD460AB116D6CCC94A1733A,1D21A3AD90FE3F
8D800CD49941BF98A804582232B5,1D21B58D111E17
8D800CD49941BF98A804582232B5,1D2230260F5013
8D800CD49941BF98A004584C90BD,1D2273B711F717
8D800CD49941BF98A804582232B5,1D22B1F8B06731
8D800CD460AB116CA4CD71705531,1D22DC8EA45A39
8D800CD460AB1521B04CA841B99D,1D23CD933BBA3E
8D800CD4994157AAC8105963D62C,1DA1B74E178E33
8D800CD460AB14CE1322F31CF66E,1DA1E733256033
8D800CD4994158AAA8045965DE4D,1DA1F318F92F32
8D800CD4994157AAA8045974BC57,1DA22B62FD773D
8D800CD460AB14CD8D2336E0AEB7,1DA264CA62CF10
8D800CD460AB14CD492358B515DD,1DA29D1549B610
8D800CD460AB14CCC1239BE12399,1DA32008FF4232
8D800CD460AB010C6DAB555B3512,1DABDC74978713
8D800CD4994159AA68045906287C,1DAC010A8B3A32
8D800CD4994159AA68045906287C,1DAC45CB1D0018
8D800CD460AB0105A1AEC3D82096,1DB2299137BB43
8D800CD460AB01056BAEDE328A68,1DB2613EB8CF16
8D800CD4202473F2CB0E2034604B,1DB43B7B0EA517
8D800CD460AB04BAAF2CB0C0DDEB,1DB4512571E033
8D800CD4994159AA88045923A8AA,1DB451BA421135
8D800CD460AB0102F3B01C089ADF,1DB49389058910
