raw_hexCode,raw_timeStamp
8D8013FEF8230003004AB8B2D55E,0D93B87A8F2C36
8D8013FEEA408864015C083F5906,13150BEAA34117
8D8013FE588191A30C66B63AF8D9,1315D4DC224737
8D8013FE9921E681B02053C81E83,138D2A1802432F
8D8013FE9921E681B01C535ED88A,138D671D307715
8D8013FE23594277CB5820982A25,138D7308F30318
8D8013FE58A9F541203EFABDF6E8,138D8524184932
8D8013FE9921E90710045389FC99,13F83525359842
8D8013FE9925BA00B80454B874E0,1B5A13C076D536
8D8013FE58AF918448C3551358DC,1BA30B0051C814
8D8013FE9925BC00500454F9689A,1BA3194E799032
8D8013FE58AF95398A41B79E482B,1BA38DFBC0A037
8D8013FE9925BC00500454F9689A,1BA3D65448A73A
8D8013FEF8230006004AB836DD41,1BA3D81E313336
8D8013FE9925BC00500454F9689A,1BA461A7F06B38
8D8013FE58AF918448C24D1DC5E8,1BA489D0812C1C
8D8013FE9925BC00500454F9689A,1BA4A240653A3E
8D8013FE9925BC00500454F9689A,1BA4EBCA115817
8D8013FE99A5BC0050045468AFE5,1BA52CFB8FA430
8D8013FE58AF91844AC1CEEC9538,1BA54473775E3A
8D8013FE99A5BC0050045468AFE5,1BA56C632AE217
8D8013FEEA32E864015C0837A561,1BA56CFB8B6E13
8D8013FE58AF95398C4063B8E163,1BA5876ED4251F
8D8013FE99A5BC0050045468AFE5,1BA5B1C07A251E
8D8013FE58AF85398E3FB2902CEB,1BA68CCC876117
8D8013FE99A5BC00581C5496B9ED,1BA6B4BBED1419
8D8013FE58AF95398E3F875E6D5C,1BA6CB9BFD8739
8D8013FE99A5BC00582054007FE4,1BA6F555150614
8D8013FEE1143500000000436D3E,1BA7050D1CCD1C
8D8013FE99A5BC005828547013E4,1BA7371E9D7121
8D8013FE58AF85398E3F3568FA0F,1BA7480842381C
8D8013FEEA32E864015C0837A561,1BA7522A7B7022
8D8013FE99A5BB00582C5441118E,1BA77AB2CF8613
8D8013FE58AF85398E3F0A967B2F,1BA786D73C193F
8D8013FEF8230006004AB836DD41,1BA798B8DB601E
8D8013FE99A5BB00583454D1A58E,1BA7C17A2EE11E
8D8013FE58AF71844CC017ECF96A,1BA7C343D03314
8D8013FEEA32E864015C0837A561,1BA7F090D2CB19
8D8013FE99A5BB00583C54A1C98E,1BA802ABC58815
8D8013FE23594277CB682046B62C,1BA8E2DBE1AC37
8D8013FE58AF41844CBF38BB3529,1BA909D3967A16
8D8013FE58AF31844EBF0C32C255,1BA9493AE32B18
8D8013FE99A5B900785854985A20,1BA96A03525D36
8D8013FE58AF21844EBEE5F6A340,1BA9850F3DC93A
8D8013FE9925B900785853F64D7B,1BA9A83984CB3D
8D8013FE58AF21844EBEB9F588A2,1BA9C50EF46C32
8D8013FE9925B900785854099D5F,1BA9E4A629BD3C
8D8013FE58AF1539923D5DB85B46,1BAA05A82BFE11
8D8013FEF8230006004AB836DD41,1BAA1E17FCF21C
8D8013FE9925B800785C5432A191,1BAA2D97303818
8D8013FE58AF01844EBE626F2C64,1BAA450FAD1D23
8D8013FE9925B800785C5432A191,1BAA72F4A12B20
8D8013FEEA32E864015C0837A561,1BAA78526B0D1D
8D8013FE58ADF539923D088835A5,1BAA8641136D18
8D8013FE9925B800785C53CD71B5,1BAAAF61BFD21C
8D8013FE9925B800785C53CD71B5,1BAAF092974F1D
8D8013FE58ADD18450BDD786FAA9,1BAB10FB8CC746
8D8013FE9925B700785C53DC13AF,1BAB2E30646F42
8D8013FE58ADC18450BDA7B4F441,1BAB55C0A40536
8D8013FEF8230006004AB836DD41,1BAB5E18DCA415
8D8013FE9925B700785C53DC13AF,1BAB6A9D024C4D
8D8013FE23594277CB682046B62C,1BAB6C67452D34
8D8013FE58ADB18450BD7723D799,1BAB9C4F04B11B
8D8013FEEA32E864015C0837A561,1BABBA1CC36A1B
8D8013FE58ADA539943C26594B32,1BABD82319DA38
8D8013FE9925B7005860530FA98F,1BABE40F129A15
8D8013FEE1143500000000436D3E,1BAC0C3792FF16
8D8013FE58AD9539943BFBD947B9,1BAC18BBD8643D
8D8013FE9925B7005860530FA98F,1BAC21ACE1213A
8D8013FE58AD818452BCF5609D60,1BAC5A8646DA15
8D8013FE58AD718452BCC98821FB,1BAC9A86A68E19
8D8013FEF8230006004AB836DD41,1BAC9CE873DE19
8D8013FE9925B7005860530FA98F,1BACA40F72BB41
8D8013FE58AD4539943B195493DB,1BAD6A9E552A16
8D8013FE58AB75399838BD76B446,1BB0F5F441AE30
8D8013FEEA32E864015C0837A561,1BB5119B308337
8D8013FEF8230006004AB836DD41,1BB55FE916BE12
8D8013FE23594277CB682046B62C,1BB562E42FC533
8D8013FE58A945399C3599420649,1BB5ABD5024E12
8D8013FE9925BA007860515DBE3B,1BB5B2FC0F0611
8D8013FE58A931845AB673657CF6,1BB5EE37823639
8D8013FEE1143500000000436D3E,1BB60183A13739
8D8013FE9925BB01186051BACDDD,1BB6B8F2A18430
8D8013FE5895618D749C16C03D4A,1BDD04985BB41C
8D8013FE99259E0A985442FB0AE1,1BEA64D106F22C
8D8013FE588F75461413025C87E6,1BEA6F8C220A15
8D8013FEEA2EF864015C08D75807,1BEAB024675D35
8D8013FEEA2EF864015C08D75807,1BEBF4515DF72A
8D8013FE588F15467C1205AF9671,1BEC0704B33332
8D8013FE9925930A584C3E1EDFCA,1BF9DF7E456831
8D8013FE587BF5504BF9E6AF2F95,1C13B6CE520636
8D8013FEEA234864015C087488D2,1C13F209BC2C40
8D8013FE23594277CB682046B62C,1C14825B1D0840
8D8013FEF8230006004AB836DD41,1C149869060016
8D8013FE587BB19BA67933300D61,1C14ADDE2F9218
8D8013FE587BA55095F92F59D251,1C14EA4ABBFB2D
8D8013FE99258809D86436EB6135,1C14FB94327014
8D8013FE587B9550A5F90991FAD5,1C152B7C187733
8D8013FEEA234864015C087488D2,1C153636B24A40
8D8013FE99258809D86436EB6135,1C15438CC9F616
8D8013FE587B8550B3F8E35BCE44,1C156A4B1D263E
8D8013FE587B519C067846669DA2,1C1632A4909632
