raw_hexCode,raw_timeStamp
8D80146FEA19785CC95C080B742A,1DBC93AD33DD42
8D80146F232473F6CF5E2030C0EF,1DBCB44DADA134
8D80146F99217811706411FCD186,1DBCD67D62EE39
8D80146F584136F2FCA8AB469CE8,1DBCDB2EC6E611
8D80146F99217811506811F1F7AF,1DBD1935F33E18
8D80146F58414333F5273237F3AD,1DBD1C5BFDDC3C
8D80146FEA19785CC95C080B742A,1DBD2F55CEC03E
8D80146F99217811506811F1F7AF,1DBD57561DD71E
8D80146F99217811506811F1F7AF,1DBD948722351D
8D80146FEA19785CC95C080B742A,1DBDD4FFAA2A1B
8D80146F5841733447279F251B01,1DBDD62FF4D936
8D80146F99A17710F11C149DED78,1DC4DC73A5C515
8D80146F5847E6F6D4ADEABEBF72,1DC5EB67681436
8D80146FEA38B85CA15C0843221B,1DC60722E39836
8D80146F584926F6F2AE1210F0B3,1DC633417AB139
8D80146F99217310D10C155A511F,1DC660A7C3BB14
8D80146F5849A6F746AE83FCE168,1DC6F9162EC630
8D80146F5849C3384F2D2153D0A0,1DC733045CB23B
8D80146FEA38B85CB15C089E660B,1DC746479EE733
8D80146F9919701170DC1613E0FA,1DC762D1671D18
8D80146F584B1338852D68271594,1DC7AC4C126939
8D80146F99216E11F0D01733D96F,1DC7D5291F0516
8D80146FEA38B85CB15C089E660B,1DC7E123907B16
8D80146F584B23389F2D89241E37,1DC7E724F54B3B
8D80146FF8230003004AB847DCBC,1DC80642ECE03E
8D80146F584D06F85AAFDD363AB6,1DC9657423A831
8D80146FEA38B85CD75C087D1BF6,1DC9C1F1AD0733
8D80146F99216B0F71181836A45B,1DCC73CCD54139
8D80146F585116F9B6B19B367714,1DCC8D3865553E
8D80146F99216C0EF11C18C65FCF,1DCCBA60687E18
8D80146FEA38B858015C0843AFD3,1DD8C8666FC716
8D80146F99217E02108820F7F6D9,1DD8E0CA87631C
8D80146F585BB33AD937AA409D66,1DD95CEF01E839
8D80146FEA38B858015C0843AFD3,1DD96750336C15
8D80146F99217F037078204B8100,1DD96BD1F21121
8D80146F99217F04307421A525E2,1DD9B3C403423A
8D80146F585BD33AE737F5C5D761,1DD9DAC071B815
8D80146F99217F04D07021B89334,1DD9F173B9571E
8D80146FEA38B858015C0843AFD3,1DDA0C4D109534
8D80146F585F26FAECBB80C2146C,1DDDB606403011
8D80146FEA38B858015C0843AFD3,1DDFB4FEF9B037
8D80146F9921750E70A423A32646,1DDFF2065D1333
8D80146F586106FBC4BCD6EB96B9,1DE00F1C055133
8D80146F9921760E70A0239E0F14,1DE0365672A51E
8D80146F5861233CE33BC21F1842,1DE056144D3215
8D80146FEA38B858015C0843AFD3,1DE056C402B418
8D80146F586146FBF8BD291CE70C,1DE09E81FC721C
8D80146F9921760E509424C20910,1DE0B14B24AB48
8D80146FF8230003004AB847DCBC,1DE0EA07F9D543
8D80146F9921770E508C2451B7DE,1DE0F625589337
8D80146F9921770E308824A605A5,1DE14038DD8E1C
8D80146F586186FC3ABD94F5FABA,1DE1589FD00F17
8D80146F9921770E308824A605A5,1DE183DF865215
8D80146F586196FC4EBDB71EEE97,1DE19404F9971C
8D80146FEA38B858015C0843AFD3,1DE19514A5131B
8D80146F9921780E108824F21B96,1DE1C220D4ED19
8D80146F99217A0D70C027B48184,1DE66A17857219
8D80146F586596FDFAC099BED864,1DE68F66D4611D
8D80146F5865B33F1D3F9483BED9,1DE6D13ACA4A18
8D80146F9921790D70BC275BD0CD,1DE6E4B717A91B
8D80146F9921790D70B8289C4685,1DE722D3871F16
8D80146FEA38B858015C0843AFD3,1DE72BA93DB71B
8D80146F232473F6CF5E2030C0EF,1DE733F59E6A21
8D80146F5865F33F4F3FEBF01BD9,1DE762D2494019
8D80146F586716FE56C13AAC5DDF,1DE7A50D94F537
8D80146F9921790D90A428114453,1DE7AAE39A8017
8D80146F586766FE9AC1B1FE8A32,1DE86FF7771734
8D80146F99217C0DD0742AF1C1DA,1DEAA4B87C8914
8D80146F586923407341E38192F7,1DEAB7533DFA36
8D80146F99217C0DD0702AC9F7DA,1DEAE75EFED61C
8D80146FEA38B858015C0843AFD3,1DEAF4DC07A537
8D80146F586956FF8EC354E02CB9,1DEB4468930A4B
8D80146F99217C0DF0682A1C3FF3,1DEB690CDB9437
8D80146F99217C0DF0642A5465F3,1DEBAB224E1414
8D80146F58697340CF4280B7FE4D,1DEBC4E8108D18
