raw_hexCode,raw_timeStamp
8D3C70C358BF05C52C1BB527656B,19D01F4234C215
8D3C70C358BF02011C956AB1B5B0,19D061F1A4B431
8D3C70C3EA48585CB73C08811D84,19E6021411B72E
8D3C70C3E1150E0000000019679D,19E60BE9DE5B2D
8D3C70C39909B01B18045BAF490B,19E624A4EE0130
8D3C70C358BF05D449B0EBE04979,19E69F4742A416
8D3C70C3F82100020049B87D1613,19E6D3A906581B
8D3C70C39909B01B18045BAF490B,19E6DF47820E31
8D3C70C358BF05D473B1150686C3,19E6E326CA1F17
8D3C70C39909B01B18045BAF490B,19E71EB0469A1F
8D3C70C3EA48585CB73C08811D84,19E7434C506820
8D3C70C358BF05D4C1B160927CE2,19E75ACE74B220
8D3C70C39909B01B18045BAF490B,19E75D7DE65A1C
8D3C70C358BF05D4EFB18E904B14,19E7982779D921
8D3C70C3EA48585CB73C08811D84,19E7E02D991221
8D3C70C358BF02113C2BA5C3E877,19E80C3BC7F622
8D3C70C3F82100020049B87D1613,19E80E4BC4541E
8D3C70C39909B01B18045BAF490B,19E813F619F921
8D3C70C358BF0211682BD05E6B06,19E84C8093881E
8D3C70C39909B01B18045BAF490B,19E857891FB321
8D3C70C3251C50F8D37CA02DB5AE,19E878F1BC0621
8D3C70C3EA48585CB73C08811D84,19E880E342D520
8D3C70C358BF0211902BF6C9E855,19E8850F06CB20
8D3C70C3E1150E0000000019679D,19E88C3E4F2D3A
8D3C70C39909B01B18045BAF490B,19E8935C1FC21F
8D3C70C39909B01B18045BAF490B,19E8C9D307C71E
8D3C70C358BF05D5DBB274030145,19E900514A8C1B
8D3C70C3EA48585CB73C08811D84,19E91E632B2919
8D3C70C358BF05D60BB2A2C6FF0A,19E9409606011B
8D3C70C39909B01B18045BAF490B,19E94CCE11E919
8D3C70C39909B01B10045BC1EB03,19E988A2B81714
8D3C70C3251C50F8D37CA02DB5AE,1B00462E903B2E
8D3C70C358BF068F1E6BC7099C0A,1B007118614F29
8D3C70C3EA48585CB73C08811D84,1B0082036EFD30
8D3C70C358BF068F4C6BF744A9A2,1B00B29730B315
8D3C70C358BF02CEA8E9696C2FD1,1B00FAA1EA6422
8D3C70C3F82100020049B87D1613,1B0104B1D2FE26
8D3C70C3EA48585CB73C08811D84,1B0123B0026B23
8D3C70C358BF02CED4E99522F024,1B013AF00E0D22
8D3C70C358BF02CEF6E9B882596C,1B01737AF32820
8D3C70C358BF068FF26C9F5CDC84,1B01AB6F79D01D
8D3C70C358BF02CF48EA0C8DCA3B,1B01E9F2AC4719
8D3C70C358BF06903C6CEDB0E0E5,1B022318BA6415
8D3C70C3F82100020049B87D1613,1B024C79373218
8D3C70C358BF0690666D1866335A,1B02652D0C611E
