raw_hexCode,raw_timeStamp
8D8013F8EA1B7808015C08F3B707,12B2270FDDF155
8D8013F89920211E10F4894EA36E,12B230D951D167
8D8013F858176329CD07A5065EF6,12B2328A461E67
8D8013F89920211E10F08A897D7C,12B256E977FF66
8D8013F858178329E907A7AD1689,12B258C1DFBA66
8D8013F89920211E10EC89DE176E,12B2726737C16C
8D8013F8EA1B7808015C08F3B707,12B276153FD974
8D8013F85817932A0307A9B16381,12B279781E4E70
8D8013F858B985B91CA22A8F69B9,13EBC697EB4C17
8D8013F8EA466858015C08118454,13EBEB6C982519
8D8013F8992541A870045D65E795,13EC2518F65918
8D8013F8EA466858015C08118454,12B25344056956
8D8013F8584316CD3A90986E2374,12B263A8080F52
8D8013F8992472A0305C11013A1E,12B2904B0F2362
8D8013F8F8230003004AB84BFD9B,12B2A145993064
8D8013F8584326CD06908D013186,12B2A63A19E164
8D8013F8992472A0705811B3F44C,12B2AD217ED317
8D8013F8232473F6DF3D20B17F43,12BAF1A6FD7D35
8D8013F85845D6C5C28EF9979C0C,12BB00B23B9F13
8D8013F8EA466858015C08118454,12C29A516C7430
8D8013F85849D2FE290B2993810B,12C2B25509942B
8D8013F8992496A8B0AC15C54E5A,12C2CE0484A52C
8D8013F8F8230003004AB84BFD9B,12C2D628ADB029
8D8013F85849F2FDDF0B18A4371F,12C2F964E06737
8D8013F899249AA9B08819FCF412,12C819E3F62D3D
