raw_hexCode,raw_timeStamp
8D80146E585B03C835F2A5B3B94B,0CEBC232733E31
8D80146EEA214865C93C088D8C80,0CEBEE4DB0EC39
8D80146E585B03C79DF2C303E912,0CEC9080A01631
8D80146E99105E9DF8041FDDAD26,0D114E30C0FC33
8D80146E5859F76907F80500C157,0D11630D646A31
8D80146EEA214865C93C088D8C80,0D1164D6D74938
8D80146E5859F76849F829E21632,0D12656FFE512F
8D80146EE1001C00000000340AB2,0D126EF9ABF537
8D80146E202473F7C74D2062F006,0D1298530FAF35
8D80146E9910649DB8081F50B9B8,0D12C83B91992C
8D80146E5859F767D1F84235C201,0D130671E13315
8D80146EEA214865C93C088D8C80,0D1347A2F6C313
8D80146EE1001C00000000340AB2,0D13B621217936
8D80146EEA214865C93C088D8C80,0D1854C28B8F10
8D80146E9910D09318041FC8C756,0D1882E0EFA31C
8D80146E9910D292B0041F24F515,0D189D1B368F36
8D80146EEA214865C93C088D8C80,0D18A4DA95C82C
8D80146E5859F3A72A74CEF14A5A,0D18AD32A7D42F
8D80146E5859F3A71C74D9BABB19,0D18CE3487E72B
8D80146E5859F3A71074E1E21911,0D18E7D57A0417
8D80146EEA214865C93C088D8C80,0D18F459D33F1D
8D80146E202473F7C74D2062F006,0D18F4F2BA9E2B
8D80146EF82300000049B85717EB,0D190A08237B1C
8D80146E5859F7642BF9D3321429,0D192907385723
8D80146E9910D89190081F4B9725,0D1934F2E06616
8D80146EEA214865C93C088D8C80,0D1948D6FEE72D
8D80146E5859F7640DF9EAA5348B,0D196F956BE81E
8D80146E9910D99150081F286114,0D197886244317
8D80146EEA214865C93C088D8C80,0D199725A93D1F
8D80146EF82300000049B85717EB,0D19A7D5D91B2D
8D80146E5859F763F3F9FD336986,0D19AB69589A21
8D80146E9910DA9130081FE2FA3D,0D19B1F8443020
8D80146EEA214865C93C088D8C80,0D19E31192CA22
8D80146E585B03A69A753C5F534A,0D19F2907DDB1D
8D80146E9910DB9110041FECD6DA,0D19F45A6ACC1C
8D80146E9910DB90D8041FC9757E,0D1B0ECDCEFA18
8D80146EEA214865C93C088D8C80,0D1B23AA666215
8D80146E585B076353FA7F7570DD,0D1B29080FFA1F
8D80146E585B03A60A75B190A964,0D1B49709C5815
8D80146EE1001C00000000340AB2,0D1B4F66B4271F
8D80146E9910DC90D8041FC04114,0D1B51C8F33C19
8D80146E585B07633BFA922EAEED,0D1B6574667E27
8D80146E9910DC90D8041FC04114,0D1B702EE0A320
8D80146E202473F7C74D2062F006,0D1B758C5F912D
8D80146E585B03A5F275C5785261,0D1B837ADAD61B
8D80146EF82300000049B85717EB,0D1B8ECE3B1217
8D80146E585B03A5E675D06D6B92,0D1BA1E0E16220
8D80146E9910DC90D8041FC04114,0D1BAEFE317E23
8D80146E585B076313FAB3FB4575,0D1BC7A7181316
8D80146E9910DC90D8041FC04114,0D1BD261B9C515
8D80146E9910DC90D8041FC04114,0D1BF1F93D9425
8D80146E9910DC90D8041FC04114,0D1C1261D3A611
8D80146EEA214865C93C088D8C80,0D1C17BF17311E
