raw_hexCode,raw_timeStamp
8DA81F7B58C902E6D9FE8E3AFA3D,11AC41FE535F34
8DA81F7BEA4C4864F35C0823A657,11AC53DF04CB33
8DA81F7B58C902E6F1FEF1EC265C,11ACC4F90EF41F
8DA81F7B9911F107500462E6BFF9,11ACD044370025
8DA81F7BEA4C4864F35C0823A657,11ACF159CA0F28
8DA81F7B58C906A76786220684CA,11AD00C7CA6C2D
8DA81F7B255504F7DA0820935390,11AD0CB357042B
8DA81F7B9911F107500462E6BFF9,11AD1129052827
8DA81F7B58C906A7738652EE33D6,11AD40C7F5A22C
8DA81F7B9911F107500462E6BFF9,11AD4CB329AB33
8DA81F7B58C906A7778666D87B8C,11AD5C2FD05A31
8DA81F7B58C902E713FF81F55CD3,11AD802C3DDD35
8DA81F7BF8210002004AB8B6B352,11AD84F93BD02C
8DA81F7B9911F107500462E6BFF9,11AD8A023A0D2D
8DA81F7BEA4C4864F35C0823A657,11AD92F2FF872E
8DA81F7B58C906A783869BEDF6D5,11AD9D15883634
8DA81F7B58C902E71FFFB7ADAA9A,11ADC15E1B2230
8DA81F7B58C906A79386E0CD88B3,11ADF8CC43DC2C
8DA81F7B9911F107500462E6BFF9,11AE0A0250F130
8DA81F7BEA4C4864F35C0823A657,11AE2D7B1B312A
8DA81F7B9911F107500462E6BFF9,11AE4A4EE05E28
8DA81F7B58C902E7420051AA1917,11AE83C19AE62B
8DA81F7B9911F107500462E6BFF9,11AE8A02804E39
8DA81F7B58C906A7B98780F1B140,11AEC9B7974D20
8DA81F7BEA4C4864F35C0823A657,11AECD4A079D1E
8DA81F7BF8210002004AB8B6B352,11AECD978C1925
8DA81F7B9911F107500462E6BFF9,11AECDEAF52024
8DA81F7BE10522000000001831BC,11AF0671238115
8DA81F7B58C906A7C587B5446F70,11AF0CB35E281D
8DA81F7B9911F107500462E6BFF9,11AF1129BE4719
8DA81F7B58C906A7CD87DCD70BCD,11AF4327EF5C14
8DA81F7B58C906A7EF88692A7871,11AFF8CD023A3F
8DA81F7B9911F107500462E6BFF9,11B000C85D4614
8DA81F7BEA4C4864F35C0823A657,11B00A0328A312
8DA81F7BF8210002004AB8B6B352,11B012F4412F45
8DA81F7B58C902E79001A107A032,11B0366CF16F19
8DA81F7B58C906A80588CB0FC56E,11B07A9E413237
8DA81F7B9911F107500462E6BFF9,11B08328B38612
8DA81F7B9911F107500462E6BFF9,11B0C96ABCAE34
8DA81F7B58C906A81D8931B7E649,11B100C851FB12
8DA81F7B9911F107500462E6BFF9,11B10A51769938
8DA81F7B58C902E7BE026D165CEF,11B139FE927919
8DA81F7BF8210002004AB8B6B352,11B14E30010714
8DA81F7B58C906A831898852CAA1,11B174A8C10F1C
8DA81F7B9911F107580462881DF1,11B18F15D0831E
8DA81F7B58C902E7D402C6558D10,11B1AEB2F3771B
8DA81F7B9911F107580462881DF1,11B1C708BFB31D
8DA81F7BEA4C4864F35C0823A657,11B1E902551E1F
8DA81F7B58C906A84789E5910DCF,11B1EF44A02126
8DA81F7B9911F107580462881DF1,11B1F9FF45EA2B
8DA81F7B255504F7DA0820935390,11B22191CFBF23
8DA81F7B58C902E7EA032484BB2C,11B22CE41FE324
8DA81F7B9911F107580462881DF1,11B23586C3E527
8DA81F7B58C902E7F40355E6F2B3,11B26EB361F125
8DA81F7B9911F107580462881DF1,11B280CA3C9527
8DA81F7BF8210002004AB8B6B352,11B288D3290825
8DA81F7B58C902E802038CBAC2C6,11B2AFDD43F02B
8DA81F7B58C906A8738AA2D02136,11B2EBB9690027
8DA81F7B9911F10738046247998A,11B2F7A4E7FB27
8DA81F7BEA4C4864F35C0823A657,11B32523257726
8DA81F7B9911F10738046247998A,11B341137B5029
8DA81F7B9911F107300462293B82,11B379FFCC412F
8DA81F7B58C906A8938B2F0316F3,11B3A522DF272C
8DA81F7B9911F107300462293B82,11B3B6B87E9F2E
8DA81F7BF8210002004AB8B6B352,11B3C7A37A7A31
8DA81F7BEA4C4864F35C0823A657,11B3CAF0E90532
8DA81F7B9911F107300462293B82,11B3DAB4E8982C
8DA81F7B58C906A89F8B60A6C6D7,11B3E35990F72E
8DA81F7B9911F107300462293B82,11B3F53CB74B2C
8DA81F7B58C906A8A78B87AAC8D2,11B419D7477936
8DA81F7BE10522000000001831BC,11B41C80CCD532
8DA81F7B58C906A8AF8BA43A4378,11B43B32347031
8DA81F7B58C906A8B38BBCBE64D0,11B459375ACD2E
8DA81F7BEA4C4864F35C0823A657,11B466088A0434
8DA81F7B9911F107500462E6BFF9,11B46950121F35
8DA81F7B58C902E85404F0E94DD0,11B4807AF72F31
8DA81F7B58C906A8BF8BED1B006D,11B49A693F842B
8DA81F7B255504F7DA0820935390,11B4A7D242682F
8DA81F7B9911F107500462E6BFF9,11B4A86ABAA231
8DA81F7B58C906A8C98C14F539AD,11B4D178822831
8DA81F7B9911F107500462E6BFF9,11B4E95040722E
8DA81F7BF8210002004AB8B6B352,11B4FA4CDDFD2E
8DA81F7B58C902E86C055DE8A142,11B50CB591F02A
8DA81F7B9911F107500462E6BFF9,11B52012AE533D
8DA81F7B58C906A8DF8C7A0692AA,11B55341D8192D
8DA81F7B9911F107500462E6BFF9,11B55D6598AC29
8DA81F7B58C902E88405C5A415E8,11B58FAFF5242B
8DA81F7B9911F107500462E6BFF9,11B59C7F50572B
8DA81F7B58C902E89005F74F3D8F,11B5D048153C27
8DA81F7B9911F107500462E6BFF9,11B5DB0236A222
8DA81F7B58C902E89E062D1B798E,11B612ABCEFB27
8DA81F7B9911F107580462881DF1,11B616899E372B
8DA81F7BF8210002004AB8B6B352,11B64114DB2E1D
8DA81F7B9911F107580462881DF1,11B65B0260BF44
8DA81F7B58C906A90F8D41606380,11B65B9C02C42B
8DA81F7B58C902E8B40690D294D6,11B698071C1528
8DA81F7BE10522000000001831BC,11B69E9A48E72D
8DA81F7B58C902E8BE06BD59E3BF,11B6CF1658FC2F
8DA81F7B9911F107580462881DF1,11B6E2298B4029
8DA81F7BEA4C4864F35C0823A657,11B6E35B39282D
8DA81F7B58C906A9298DB10C42E7,11B6EDC869992E
8DA81F7B9911F107580462881DF1,11B70540E23838
8DA81F7B58C906A92F8DCEDDB921,11B713E2769134
8DA81F7B255504F7DA0820935390,11B7235B49842D
8DA81F7BEA4C4864F35C0823A657,11B73241F1943C
8DA81F7B9911F107580462881DF1,11B737EAF2A51D
8DA81F7B58C902E8D607200E9207,11B7534295EB31
8DA81F7B9911F107580462881DF1,11B75B02BE022D
8DA81F7B9911F107580462881DF1,11B7811515B718
8DA81F7BF8210002004AB8B6B352,11B782DF3E3A39
8DA81F7BEA4C4864F35C0823A657,11B786263FFE34
8DA81F7B9911F107580462881DF1,11B7A144C3BF3B
8DA81F7B58C906A94B8E48305833,11B7B079EFE816
8DA81F7B9911F107580462881DF1,11B7C07C6D641D
8DA81F7BEA4C4864F35C0823A657,11B7D68A48901F
8DA81F7B9911F107580462881DF1,11B7D8A2C9F63E
8DA81F7BE10522000000001831BC,11B7E06281FE1B
8DA81F7B9911F107580462881DF1,11B7F62173EF1C
8DA81F7B58C906A9598E82F25D76,11B80920ED8A40
8DA81F7B9911F107580462881DF1,11B81DB167B73F
8DA81F7BEA4C4864F35C0823A657,11B826A248C736
8DA81F7B58C906A95F8E9F21F87B,11B8281FC55D1B
8DA81F7B9911F107580462881DF1,11B83B7ED3CC1C
8DA81F7B255504F7DA0820935390,11B857BBB8081D
8DA81F7B9911F107580462881DF1,11B858A2F7303D
8DA81F7B58C906A96B8ED58D7E51,11B86DC8F6E51D
8DA81F7B9911F107580462881DF1,11B871F691121B
8DA81F7BEA4C4864F35C0823A657,11B87375B8B71E
8DA81F7B9911F10738046247998A,11B8955959F139
8DA81F7B58C906A9738EF2C089DD,11B895A6F3AA39
8DA81F7B58C902E9160835E0F3CC,11B8B53E03FF15
8DA81F7BF8210002004AB8B6B352,11B8C1AF64573C
8DA81F7BEA4C4864F35C0823A657,11B8C7A4F70838
8DA81F7B58C906A97D8F23774EA2,11B8D63E13B73A
8DA81F7B9911F10738046247998A,11B8DB0349A83E
8DA81F7B58C906A9878F4E077E6D,11B90F175C5336
8DA81F7BEA4C4864F35C0823A657,11B914C113A436
8DA81F7BE10522000000001831BC,11B915F4184335
8DA81F7B58C902E92C08930B2222,11B92A8477182C
8DA81F7B58C902E93008A78E8C60,11B94C1D9CE033
8DA81F7B9911F10738046247998A,11B95D661D6C31
8DA81F7BEA4C4864F35C0823A657,11B962CA7BC02E
8DA81F7B58C906A99F8FB0B168FC,11B99212489D2C
8DA81F7B9911F10738046247998A,11B997BC11F034
8DA81F7B255504F7DA0820935390,11B998ED5B712F
8DA81F7B58C906A9A58FCDA14414,11B9B53ED88544
8DA81F7B9911F10738046247998A,11B9D8A383442D
8DA81F7BF8210002004AB8B6B352,11BA024767FD46
8DA81F7BEA4C4864F35C0823A657,11BA058EDE6531
8DA81F7B58C902E956094B66F057,11BA19D9798C27
8DA81F7B9911F10738046247998A,11BA2276DAE12B
8DA81F7B58C902E960097C2CC0A4,11BA5B9D7A8F22
8DA81F7B9911F10738046247998A,11BA5FCFDD2929
8DA81F7BEA4C4864F35C0823A657,11BAA3A859C92D
8DA81F7B9911F1073808620FC38A,11BAA60A8F4A29
8DA81F7B58C906A9CF9081A2955F,11BAA656FEEA25
8DA81F7B58C906A9D990B15209A1,11BAE6EF5F5624
8DA81F7B9911F1073808620FC38A,11BAEBBBD64722
8DA81F7B58C902E9840A162E2951,11BB222AADF61B
8DA81F7B9911F10738046247998A,11BB358A0DF018
8DA81F7B58C902E98E0A47A7B46A,11BB6194BDDE44
8DA81F7B9911F10738046247998A,11BB72DBC3EF13
8DA81F7BE10522000000001831BC,11BB9A6DFFC335
8DA81F7B58C906A9FB9148F8F027,11BBA789B90234
8DA81F7BEA4C4864F35C0823A657,11BBDE9A3EE534
8DA81F7B58C902E9A60AAA769208,11BBE820D5173D
8DA81F7B255504F7DA0820935390,11BC252685C92F
8DA81F7B58C902E9B20AE1609C02,11BC25C5F6AE38
8DA81F7B58C906AA1F91DF6E103C,11BC6EB6E4ED15
8DA81F7B9911F10738046247998A,11BC753FB85617
8DA81F7BEA4C4864F35C0823A657,11BC7708365616
8DA81F7BF8210002004AB8B6B352,11BC8B3929E816
8DA81F7B9911F10738046247998A,11BCB4596DBF1D
8DA81F7B58C906AA3592454BFA70,11BCF2DBE00321
8DA81F7B9911F10738046247998A,11BD00CE1F2621
8DA81F7BEA4C4864F35C0823A657,11BD1855FAC123
8DA81F7B58C906AA3F926CC0B52F,11BD2BBC3B792A
8DA81F7B9911F10738046247998A,11BD43796A2F26
8DA81F7B58C902E9EC0BDD7A1F7C,11BD6FE120B528
8DA81F7B9911F10738046247998A,11BD80CE43192E
8DA81F7B9911F10738046247998A,11BD98EEB6BB38
8DA81F7B58C906AA5792D267E0B5,11BDAEB758D52D
8DA81F7BEA4C4864F35C0823A657,11BDB623A8632F
8DA81F7B9911F10738046247998A,11BDB6BC282E45
8DA81F7BF8210002004AB8B6B352,11BDCA086F972E
8DA81F7B58C902E9FC0C2788B353,11BDD17B8F3917
8DA81F7B58C902EA040C45608CA3,11BDF40D56BE35
8DA81F7B9911F10738046247998A,11BDF53F53C034
8DA81F7BE10522000000001831BC,11BE05DE0BFC64
8DA81F7BEA4C4864F35C0823A657,11BE08D706D616
8DA81F7B58C906AA69932549FA6E,11BE1855E2863A
8DA81F7B9911F10738046247998A,11BE1BE9D84D3A
8DA81F7B9911F10738046247998A,11BE3A4FD83238
8DA81F7B58C902EA100C7C743CBA,11BE3B34D96134
8DA81F7BEA4C4864F35C0823A657,11BE593B7B3237
8DA81F7B58C906AA759355CFEF7A,11BE59DB019312
8DA81F7BF8210002004AB8B6B352,11BE6D33E0C113
8DA81F7B58C906AA799369977544,11BE75D8877A35
8DA81F7B9911F10738046247998A,11BE859092AC3A
8DA81F7B58C906AA7D937C5F08A7,11BE9392647618
8DA81F7B9911F10738046247998A,11BEA86E66B214
8DA81F7BEA4C4864F35C0823A657,11BEA9EC26B92D
8DA81F7B58C902EA240CD5221692,11BEB244382930
8DA81F7B9911F107300462293B82,11BEC70D7E3C39
8DA81F7B58C906AA8993B2944C84,11BED3E5534B18
8DA81F7B58C906AA8D93C55E6FAC,11BEF07C757A35
8DA81F7BEA4C4864F35C0823A657,11BEF672CD5F38
8DA81F7B9911F107300462293B82,11BF00CED17E2E
8DA81F7BF8210002004AB8B6B352,11BF142AEB6532
8DA81F7B9911F107300462293B82,11BF1F7EC27733
8DA81F7B58C902EA3A0D33B664B1,11BF295487F734
8DA81F7B9911F107300462293B82,11BF4118BBDB2E
8DA81F7BEA4C4864F35C0823A657,11BF4BD26B8C37
8DA81F7B9911F107300462293B82,11BF5DB4107135
8DA81F7B58C902EA440D5A1B39E1,11BF5F3DBC2A24
8DA81F7B9911F107300462293B82,11BF7A043D282E
8DA81F7BEA4C4864F35C0823A657,11BF9B51D91C30
8DA81F7B58C902EA500D910A312B,11BF9E0042BA2B
8DA81F7B9911F107300462293B82,11BFAF95CF942C
8DA81F7B58C906AAB99482277555,11BFE5C860A929
8DA81F7B9911F107300462293B82,11BFEBBDAA1C2B
8DA81F7B58C902EA620DE074F791,11C00C6AD3A912
8DA81F7B58C906AAC594B3929353,11C02A872EB62E
8DA81F7B9911F107300462293B82,11C02C0277552F
8DA81F7BEA4C4864F35C0823A657,11C03A50BD242A
8DA81F7B58C906AAC994C7C9FA61,11C046C4D5972E
8DA81F7BF8210002004AB8B6B352,11C058F119E02C
8DA81F7B58C906AACF94E41B2A45,11C069EC527C2E
8DA81F7B9911F107300462293B82,11C075403A5733
8DA81F7BE10522000000001831BC,11C083308B562B
8DA81F7B58C906AAD594F74C6C15,11C087A7567436
8DA81F7BEA4C4864F35C0823A657,11C08ECDD61E35
8DA81F7B58C906AAD9950B1E7E0B,11C0A195BFED31
8DA81F7B9911F107300462293B82,11C0AF9630AF30
8DA81F7BEA4C4864F35C0823A657,11C0DD69DB1125
8DA81F7B58C906AAE5954023AE20,11C0DFD1CFA334
8DA81F7B9911F10738046247998A,11C0F07EA61534
8DA81F7B58C906AAE995547A85C2,11C1007F67C812
8DA81F7B9911F10738046247998A,11C10ECDF9C334
8DA81F7B58C902EA920EB5628A50,11C11B05E2F132
8DA81F7BEA4C4864F35C0823A657,11C129ED0D223A
8DA81F7B58C902EA960EC9573106,11C138D353A915
8DA81F7B255504F7DA0820935390,11C147FAFDFB31
8DA81F7B58C902EA9C0EDD22E362,11C155AA242232
8DA81F7B9911F107300462293B82,11C16955E0B12E
8DA81F7BEA4C4864F35C0823A657,11C1783B925B34
8DA81F7BF8210002004AB8B6B352,11C19857F2F739
8DA81F7B58C906AB0595CDD56936,11C1993C397139
8DA81F7B9911F107300462293B82,11C1A60D1F2C34
8DA81F7BE10522000000001831BC,11C1B970F44317
8DA81F7BEA4C4864F35C0823A657,11C1CBD358FA15
8DA81F7B58C902EAB40F4500A6B7,11C1D9DC4DBA36
8DA81F7B9911F107300462293B82,11C2067721FD2E
8DA81F7BEA4C4864F35C0823A657,11C2198A041D2B
8DA81F7B58C902EABE0F768B6547,11C219DC86EB35
8DA81F7B9911F107300462293B82,11C229A0D55A31
8DA81F7B58C902EACC0FAD79F0A8,11C2593C7B0E30
8DA81F7B9911F107300462293B82,11C26493583C2D
8DA81F7B58C902EAD00FC000B937,11C2729156D61F
8DA81F7B255504F7DA0820935390,11C2837B6FE22D
8DA81F7B58C906AB31968B6BB1C6,11C295AA9E052F
8DA81F7B9911F107300462293B82,11C2A148CA1535
8DA81F7BEA4C4864F35C0823A657,11C2B888C41331
8DA81F7B9911F107300462293B82,11C2C676636011
8DA81F7B58C906AB3B96BB1F9A24,11C2DB06826D2B
8DA81F7B9911F107300462293B82,11C2DFD3039E32
8DA81F7BF8210002004AB8B6B352,11C2E313056532
8DA81F7BE10522000000001831BC,11C2FAEC27F22D
8DA81F7B9911F107300462293B82,11C302E2EBB213
8DA81F7B58C902EAEE1046676CED,11C31FD2A5FE2E
8DA81F7B9911F107300462293B82,11C324DD71F627
