Icao,Message,Timestamp,Receiver,df,Receiver IP
702075,5D702075B50D47,11EEF69C2B952D,1,11,192.168.30.27
70206C,5D70206C4A69FA,11EEFAD172B988,1,11,192.168.30.27
70209E,5D70209E4FD129,11EF074948C144,2,11,192.168.101.3
7020A2,5D7020A24EB81B,11EF0779571FB1,2,11,192.168.101.3
702097,5D702097B0554C,11EF07ED5F494C,2,11,192.168.101.3
800C11,5D800C1139AD6E,11EF002435E549,1,11,192.168.30.27
800C0B,5D800C0B3921C1,11EF0FC4C9A936,1,11,192.168.30.27
702085,5D702085B0A98F,11EF0AFCFA2160,2,11,192.168.101.3
800C0B,5D800C0B3921C7,11EF1126AB7934,1,11,192.168.30.27
70206C,5D70206C4A69FA,11EF0C4D38038E,2,11,192.168.101.3
680002,5D680002C5DD7C,11EF12A3D0D631,1,11,192.168.30.27
680002,5D680002C5DD7C,11EF15C2E6E131,1,11,192.168.30.27
702C0A,5D702C0A005507,11EF164AF32069,1,11,192.168.30.27
800BB1,5D800BB1154A9E,11EF1BD7D62246,2,11,192.168.101.3
8005F0,5D8005F0BD7CFF,11EF22CC21FE29,2,11,192.168.101.3
8005F0,5D8005F0BD7CF7,11EF22CC220E41,2,11,192.168.101.3
70206D,5D70206DB59DF3,11EF22F7488089,2,11,192.168.101.3
702C09,5D702C09FFBD15,11EF23B1D62252,2,11,192.168.101.3
680002,5D680002C5DD7A,11EF2538D34510,2,11,192.168.101.3
8013E6,5D8013E6794D02,11EF2B47ED9B41,1,11,192.168.30.27
801410,5D80141056ED6C,11EF2B92CB9F35,1,11,192.168.30.27
70209E,5D70209E4FD129,11EF3829C91235,2,11,192.168.101.3
7BD01B,5D7BD01B94C122,11EF385FFB573D,2,11,192.168.101.3
801410,5D80141056ED6C,11EF2E88D05B34,1,11,192.168.30.27
8005F0,5D8005F0BD7CF9,11EF30207A1D25,1,11,192.168.30.27
801410,5D80141056ED67,11EF30B708882E,1,11,192.168.30.27
800DAA,5D800DAACE1F38,11EF3A5720A325,2,11,192.168.101.3
8005F0,5D8005F0BD7CF9,11EF326E6E6F27,1,11,192.168.30.27
800C74,5D800C74C42381,11EF356B421634,1,11,192.168.30.27
702085,5D702085B0A98F,11EF4269D56765,2,11,192.168.101.3
800C11,5D800C1139AD6E,11EF43277DF422,2,11,192.168.101.3
800C3C,5D800C3CC7D083,11EF4AD82F9D17,1,11,192.168.30.27
70206C,5D70206C4A69FA,11EF4AE1A25097,1,11,192.168.30.27
702097,5D702097B0554C,11EF44F0D7125A,2,11,192.168.101.3
702075,5D702075B50D47,11EF4523560317,2,11,192.168.101.3
7BD01B,5D7BD01B94C12C,11EF4C09AF021B,1,11,192.168.30.27
7020A2,5D7020A24EB81B,11EF46E0B14EB2,2,11,192.168.101.3
800C3C,5D800C3CC7D093,11EF48AC11381C,2,11,192.168.101.3
800C3C,5D800C3CC7D083,11EF48AC114738,2,11,192.168.101.3
